% Model:              biconAndDipole_box_moveBicon_1.5.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 7 2022, 14:17
% Table:              Table 5 - Global Evaluation 4
% biconX (m)                                      biconY (m)                                        biconZ (m)                                        freq (MHz)                                        10 * log10( abs(emw.Pport_1) /.001)
-0.698                                            -0.3122                                           -1.204                                            208.08080808080805                                -16.914341877908203
-0.698                                            -0.3122                                           -1.204                                            208.58585858585857                                -34.0870297903282
-0.698                                            -0.3122                                           -1.204                                            209.0909090909091                                 -24.020714771922872
-0.698                                            -0.3122                                           -1.204                                            209.59595959595956                                -15.81347407754571
-0.698                                            -0.3122                                           -1.204                                            210.1010101010101                                 -16.42018068093894
-0.698                                            -0.3122                                           -1.204                                            210.6060606060606                                 -16.776098320315505
-0.698                                            -0.3122                                           -1.204                                            211.1111111111111                                 -18.65276587355152
-0.698                                            -0.3122                                           -1.204                                            211.6161616161616                                 -17.67738655478312
-0.698                                            -0.3122                                           -1.204                                            212.12121212121212                                -20.931151435204338
-0.698                                            -0.3122                                           -1.204                                            212.6262626262626                                 -21.84414080411007
-0.698                                            -0.3122                                           -1.204                                            213.13131313131314                                -21.56558370468726
-0.698                                            -0.3122                                           -1.204                                            213.63636363636363                                -21.766892919765457
-0.698                                            -0.3122                                           -1.204                                            214.14141414141412                                -22.309635932173066
-0.698                                            -0.3122                                           -1.204                                            214.64646464646464                                -34.08551870753884
-0.698                                            -0.3122                                           -1.204                                            215.15151515151516                                -63.69239823507197
-0.698                                            -0.3122                                           -1.204                                            215.65656565656562                                -37.634032302362755
-0.698                                            -0.3122                                           -1.204                                            216.16161616161617                                -38.26537951427352
-0.698                                            -0.3122                                           -1.204                                            216.66666666666666                                -45.49434247107901
-0.698                                            -0.3122                                           -1.204                                            217.17171717171715                                -40.50949696584574
-0.698                                            -0.3122                                           -1.204                                            217.67676767676767                                -41.8134860700701
-0.698                                            -0.3122                                           -1.204                                            218.1818181818182                                 -38.00474517443725
-0.698                                            -0.3122                                           -1.204                                            218.68686868686865                                -34.278209388631964
-0.698                                            -0.3122                                           -1.204                                            219.1919191919192                                 -27.009986526249445
-0.698                                            -0.3122                                           -1.204                                            219.6969696969697                                 -26.84834707552604
-0.698                                            -0.3122                                           -1.204                                            220.20202020202018                                -20.40634090430768
-0.698                                            -0.3122                                           -1.204                                            220.7070707070707                                 -21.523359435145345
-0.698                                            -0.3122                                           -1.204                                            221.21212121212122                                -21.76084595928498
-0.698                                            -0.3122                                           -1.204                                            221.71717171717168                                -16.143277775049402
-0.698                                            -0.3122                                           -1.204                                            222.22222222222223                                -17.989985866284798
-0.698                                            -0.3122                                           -1.204                                            222.72727272727272                                -35.882096275504054
-0.698                                            -0.3122                                           -1.204                                            223.2323232323232                                 -19.915298565177686
-0.698                                            -0.3122                                           -1.204                                            223.73737373737373                                -37.92637890830199
-0.698                                            -0.3122                                           -1.204                                            224.24242424242425                                -30.087054729323132
-0.698                                            -0.3122                                           -1.204                                            224.7474747474747                                 -29.930644561524666
-0.698                                            -0.3122                                           -1.204                                            225.25252525252526                                -32.33594051221139
-0.698                                            -0.3122                                           -1.204                                            225.75757575757575                                -23.15035851248247
-0.698                                            -0.3122                                           -1.204                                            226.26262626262624                                -19.46416985173497
-0.698                                            -0.3122                                           -1.204                                            226.76767676767676                                -21.621309879281174
-0.698                                            -0.3122                                           -1.204                                            227.27272727272728                                -14.538952479317226
-0.698                                            -0.3122                                           -1.204                                            227.77777777777774                                -37.04635519053937
-0.698                                            -0.3122                                           -1.204                                            228.2828282828283                                 -31.804510760577124
-0.698                                            -0.3122                                           -1.204                                            228.78787878787878                                -20.32969775928981
-0.698                                            -0.3122                                           -1.204                                            229.29292929292927                                -25.44643115715217
-0.698                                            -0.3122                                           -1.204                                            229.7979797979798                                 -23.072045828194526
-0.698                                            -0.3122                                           -1.204                                            230.3030303030303                                 -22.27984105400902
-0.698                                            -0.3122                                           -1.204                                            230.80808080808077                                -23.47050782466637
-0.698                                            -0.3122                                           -1.204                                            231.31313131313132                                -24.183425769106947
-0.698                                            -0.3122                                           -1.204                                            231.8181818181818                                 -24.66747630557864
-0.698                                            -0.3122                                           -1.204                                            232.3232323232323                                 -24.985166584178206
-0.698                                            -0.3122                                           -1.204                                            232.82828282828282                                -25.15714652612134
-0.698                                            -0.3122                                           -1.204                                            233.33333333333334                                -25.044530182530732
-0.698                                            -0.3122                                           -1.204                                            233.8383838383838                                 -24.96082504441917
-0.698                                            -0.3122                                           -1.204                                            234.34343434343435                                -24.19159718496926
-0.698                                            -0.3122                                           -1.204                                            234.84848484848484                                -26.195172218313015
-0.698                                            -0.3122                                           -1.204                                            235.35353535353534                                -19.970867074598686
-0.698                                            -0.3122                                           -1.204                                            235.85858585858585                                -25.662354147526443
-0.698                                            -0.3122                                           -1.204                                            236.36363636363637                                -21.39627026854647
-0.698                                            -0.3122                                           -1.204                                            236.86868686868684                                -27.064393737513512
-0.698                                            -0.3122                                           -1.204                                            237.37373737373738                                -24.654517935063165
-0.698                                            -0.3122                                           -1.204                                            237.87878787878788                                -22.921233334520586
-0.698                                            -0.3122                                           -1.204                                            238.38383838383837                                -20.077876149307194
-0.698                                            -0.3122                                           -1.204                                            238.88888888888889                                -15.790159167645928
-0.698                                            -0.3122                                           -1.204                                            239.3939393939394                                 -25.495527229130126
-0.698                                            -0.3122                                           -1.204                                            239.89898989898987                                -20.65535847214062
-0.698                                            -0.3122                                           -1.204                                            240.40404040404042                                -22.347330109149837
-0.698                                            -0.3122                                           -1.204                                            240.9090909090909                                 -26.817850980124454
-0.698                                            -0.3122                                           -1.204                                            241.4141414141414                                 -34.14062538596766
-0.698                                            -0.3122                                           -1.204                                            241.91919191919192                                -30.495319976964513
-0.698                                            -0.3122                                           -1.204                                            242.42424242424244                                -24.42057804785106
-0.698                                            -0.3122                                           -1.204                                            242.9292929292929                                 -22.034445404186222
-0.698                                            -0.3122                                           -1.204                                            243.43434343434345                                -18.156033349261698
-0.698                                            -0.3122                                           -1.204                                            243.93939393939394                                -15.198493553334249
-0.698                                            -0.3122                                           -1.204                                            244.44444444444443                                -15.197936563819605
-0.698                                            -0.3122                                           -1.204                                            244.94949494949495                                -22.765482365646204
-0.698                                            -0.3122                                           -1.204                                            245.45454545454547                                -34.66698331714283
-0.698                                            -0.3122                                           -1.204                                            245.95959595959593                                -21.69953623320671
-0.698                                            -0.3122                                           -1.204                                            246.46464646464648                                -34.43994932111625
-0.698                                            -0.3122                                           -1.204                                            246.96969696969697                                -15.012232462725226
-0.698                                            -0.3122                                           -1.204                                            247.47474747474746                                -17.930145411187205
-0.698                                            -0.3122                                           -1.204                                            247.97979797979798                                -23.884368349138455
-0.698                                            -0.3122                                           -1.204                                            248.4848484848485                                 -27.295578980886994
-0.698                                            -0.3122                                           -1.204                                            248.98989898989896                                -30.248481844540386
-0.698                                            -0.3122                                           -1.204                                            249.49494949494948                                -32.09933232800039
-0.698                                            -0.3122                                           -1.204                                            250                                               -22.297236080238886
-0.698                                            -0.3122                                           0.015                                             60                                                -57.43364914145597
-0.698                                            -0.3122                                           0.015                                             62.22222222222222                                 -54.897631991802456
-0.698                                            -0.3122                                           0.015                                             64.44444444444444                                 -52.304650939308445
-0.698                                            -0.3122                                           0.015                                             66.66666666666667                                 -49.6849909020228
-0.698                                            -0.3122                                           0.015                                             68.88888888888887                                 -47.225202880178436
-0.698                                            -0.3122                                           0.015                                             71.11111111111111                                 -45.40641646569752
-0.698                                            -0.3122                                           0.015                                             73.33333333333333                                 -44.86938257571242
-0.698                                            -0.3122                                           0.015                                             75.55555555555554                                 -45.697132582022164
-0.698                                            -0.3122                                           0.015                                             77.77777777777777                                 -47.480022684519184
-0.698                                            -0.3122                                           0.015                                             80                                                -50.296037836670024
-0.698                                            -0.3122                                           0.015                                             100                                               -45.60100136774507
-0.698                                            -0.3122                                           0.015                                             101.0204081632653                                 -46.42057377127803
-0.698                                            -0.3122                                           0.015                                             102.04081632653062                                -49.799632301775524
-0.698                                            -0.3122                                           0.015                                             103.06122448979592                                -39.80056444089192
-0.698                                            -0.3122                                           0.015                                             104.08163265306122                                -43.576852989917334
-0.698                                            -0.3122                                           0.015                                             105.10204081632652                                -44.39415127254928
-0.698                                            -0.3122                                           0.015                                             106.12244897959182                                -44.15220824677085
-0.698                                            -0.3122                                           0.015                                             107.14285714285712                                -45.111505596719
-0.698                                            -0.3122                                           0.015                                             108.16326530612244                                -45.38205755102092
-0.698                                            -0.3122                                           0.015                                             109.18367346938776                                -45.65539109919479
-0.698                                            -0.3122                                           0.015                                             110.20408163265306                                -45.982841235321175
-0.698                                            -0.3122                                           0.015                                             111.22448979591837                                -46.47422636967745
-0.698                                            -0.3122                                           0.015                                             112.24489795918367                                -47.65888140819057
-0.698                                            -0.3122                                           0.015                                             113.26530612244898                                -50.538861644133476
-0.698                                            -0.3122                                           0.015                                             114.28571428571429                                -41.69808192637605
-0.698                                            -0.3122                                           0.015                                             115.30612244897958                                -44.455390132067464
-0.698                                            -0.3122                                           0.015                                             116.32653061224488                                -45.136417892510096
-0.698                                            -0.3122                                           0.015                                             117.3469387755102                                 -45.658636562841075
-0.698                                            -0.3122                                           0.015                                             118.3673469387755                                 -46.10290371146324
-0.698                                            -0.3122                                           0.015                                             119.38775510204081                                -46.54823377118553
-0.698                                            -0.3122                                           0.015                                             120.40816326530611                                -46.99216090259134
-0.698                                            -0.3122                                           0.015                                             121.42857142857143                                -47.095093471343084
-0.698                                            -0.3122                                           0.015                                             122.44897959183673                                -62.37841471481342
-0.698                                            -0.3122                                           0.015                                             123.46938775510205                                -53.196790942935415
-0.698                                            -0.3122                                           0.015                                             124.48979591836735                                -56.5126990720811
-0.698                                            -0.3122                                           0.015                                             125.51020408163264                                -69.82639475913037
-0.698                                            -0.3122                                           0.015                                             126.53061224489794                                -56.696430728052405
-0.698                                            -0.3122                                           0.015                                             127.55102040816325                                -47.34907081988493
-0.698                                            -0.3122                                           0.015                                             128.57142857142858                                -40.75095924442343
-0.698                                            -0.3122                                           0.015                                             129.59183673469389                                -34.53410005363229
-0.698                                            -0.3122                                           0.015                                             130.6122448979592                                 -28.181747511450098
-0.698                                            -0.3122                                           0.015                                             131.6326530612245                                 -26.15964696166465
-0.698                                            -0.3122                                           0.015                                             132.6530612244898                                 -28.705363133892646
-0.698                                            -0.3122                                           0.015                                             133.67346938775512                                -31.019747529914806
-0.698                                            -0.3122                                           0.015                                             134.69387755102042                                -32.62073843794559
-0.698                                            -0.3122                                           0.015                                             135.71428571428572                                -33.63708594809788
