% Model:              biconAndDipole_box_12.31.21.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:41
% Table:              Table 8 - Global Evaluation 6
% freq (MHz)                                      abs(emw.Zport_2) (Ω)                              (emw.Zport_2) (Ω)
64                                                2172.8784244379276                                0.16902585497414846-2172.878417863759i
64.5                                              2155.510675879938                                 0.1845371494501013-2155.510667980659i
65                                                2138.4057937003186                                0.2023238563973822-2138.405784128949i
65.5                                              2121.5581333862274                                0.22266014841142123-2121.5581217019985i
66                                                2104.962313442319                                 0.2458049179328865-2104.9622990905045i
66.5                                              2088.613274351593                                 0.27196229149612655-2088.6132566452306i
67                                                2072.506287820808                                 0.3012248008786883-2072.506265930312i
67.5                                              2056.636949261742                                 0.33349547369496435-2056.63692222264i
68                                                2041.0011373571542                                0.36839123285717074-2041.0011041107i
68.5                                              2025.5949204717372                                0.40514084323939287-2025.5948799554665i
69                                                2010.4143976753592                                0.4425065464860308-2010.4143489759354i
69.5                                              1995.4554745100597                                0.4787747360247313-1995.4554170732354i
70                                                1980.7136104312187                                0.5118656550237183-1980.7135442918102i
70.5                                              1966.1836148472016                                0.5395885300744656-1966.183540806358i
71                                                1951.8595877439852                                0.5600107008575417-1951.859507407266i
71.5                                              1937.7350737053018                                0.5718385521058376-1937.7349893286134i
72                                                1923.8034055258604                                0.5746731066298192-1923.8033196934969i
72.5                                              1910.058135675276                                 0.569042687384604-1910.0580509109482i
73                                                1896.493399861803                                 0.5562129995301895-1896.4933182973464i
73.5                                              1883.1041111368459                                0.5378668361411089-1883.1040343219906i
74                                                1869.8859684542274                                0.515775914150998-1869.8858973202643i
74.5                                              1856.835330530548                                 0.491553654652093-1856.8352654668895i
75                                                1843.949034065252                                 0.4665194128698907-1843.9489750505063i
75.5                                              1831.2242150828952                                0.441658783581983-1831.224161822764i
76                                                1818.658178132491                                 0.4176420912286385-1818.6581301782023i
76.5                                              1806.2483659760271                                0.3948421949609219-1806.2483228201788i
77                                                1793.9922173851621                                0.37339691332559866-1793.9921785262266i
77.5                                              1781.885349851328                                 0.35364576156525607-1781.8853147577893i
78                                                1769.9378401992844                                0.3362963191430979-1769.9378082503615i
78.5                                              1758.120649342283                                 0.31973666208481183-1758.120620268188i
79                                                1746.4514725267647                                0.3046504844809344-1746.4514459551938i
79.5                                              1734.9227029750582                                0.2910169489756482-1734.9226785673814i
80                                                1723.5313361703847                                0.2786274675120914-1723.531313648814i
80.5                                              1712.274477611462                                 0.26737081570099075-1712.2744567365514i
81                                                1701.1492037379644                                0.2571413897180241-1701.1491843035449i
81.5                                              1690.1525129266063                                0.2478406988518188-1690.1524947551657i
82                                                1679.2812729981335                                0.23937859688938473-1679.2812559366341i
82.5                                              1668.5321490033368                                0.23167370375838545-1668.5321329195276i
83                                                1657.9014895802566                                0.2246534250326518-1657.9014743594603i
83.5                                              1647.3851450628895                                0.21825374306265113-1647.385130605221i
84                                                1636.97816126212                                  0.2124190481926715-1636.9781474800632i
84.5                                              1626.6742413670404                                0.2071022697174888-1626.674228183285i
85                                                1616.4647333260968                                0.20226601988265153-1616.4647206714617i
85.5                                              1606.3365821961447                                0.19788644457806448-1606.3365700072159i
86                                                1596.2677385998074                                0.19396435494562472-1596.2677268153898i
86.5                                              1586.2153899676186                                0.19055914945060598-1586.215378521257i
87                                                1576.079313135616                                 0.18791755924700945-1576.079301932814i
87.5                                              1565.5456847555108                                0.1872044685277138-1565.545673562764i
88                                                1552.8129462447366                                0.20016124967872453-1552.8129333441082i
88.5                                              1580.7738450295215                                0.7023531356685485-1580.773688998362i
89                                                1544.5386312804344                                0.18449344074611573-1544.538620261665i
89.5                                              1533.362708508424                                 0.17525312861510917-1533.3626984932923i
90                                                1523.5539304716851                                0.1718795754572775-1523.553920776397i
90.5                                              1514.1942773639094                                0.16950076748382203-1514.1942678768473i
91                                                1505.075225845145                                 0.16758105460736514-1505.075216515575i
91.5                                              1496.1224090997507                                0.16593614915075425-1496.1223998976943i
92                                                1487.3019924641774                                0.16449283160935232-1487.3019833678768i
92.5                                              1478.5957290069448                                0.16321528769476343-1478.5957199986574i
93                                                1469.9923966799017                                0.1620830812367252-1469.9923877441668i
93.5                                              1461.4842871565086                                0.1610838076855271-1461.4842782792346i
94                                                1453.065560823209                                 0.1602097164404529-1453.065551991139i
94.5                                              1444.7313824567789                                0.1594555213245695-1444.7313736571973i
95                                                1436.4774088037827                                0.15881684703085283-1436.4774000243926i
95.5                                              1428.3005041967128                                0.1580260016054869-1428.300495454779i
96                                                1420.1931589761643                                0.15786731707953042-1420.193150201974i
96.5                                              1412.1538052215985                                0.15756983739267166-1412.1537964306815i
97                                                1404.175801400459                                 0.15737197455721988-1404.1757925817847i
97.5                                              1396.2523409053217                                0.1572847630548489-1396.25233204643i
98                                                1388.3745483807024                                0.15731278524832848-1388.3745394683694i
98.5                                              1380.530223695915                                 0.1574652529034103-1380.530214715559i
99                                                1372.701566907199                                 0.15775937174695812-1372.7015578418568i
99.5                                              1364.860839860182                                 0.158227525928046-1364.8608306885694i
100                                               1356.9613424413562                                0.15893411026810636-1356.9613331337766i
100.5                                             1348.9164754017074                                0.16002083232396588-1348.9164659101386i
101                                               1340.5433059098682                                0.16185219674299933-1340.543296139153i
101.5                                             1331.3721591148046                                0.16566037928319394-1331.3721488083847i
102                                               1319.7178393985216                                0.17748616596508088-1319.7178274636449i
102.5                                             1291.3495118299888                                0.30204060207348277-1291.3494765070473i
103                                               1355.0191884872781                                0.34377384693157165-1355.0191448788698i
103.5                                             1322.0946152627564                                0.17938518994446204-1322.094603093035i
104                                               1310.3106770116242                                0.16875537209215208-1310.3106661445925i
104.5                                             1301.4005122711355                                0.1668751883687537-1301.4005015721507i
105                                               1293.4680334521045                                0.1670228332516285-1293.468022668449i
105.5                                             1286.0031433536385                                0.16816595082440844-1286.0031323584137i
106                                               1278.8208335485492                                0.16682709546447172-1278.820822666931i
106.5                                             1271.804273999039                                 0.16964760322813693-1271.8042626842832i
107                                               1264.922046900815                                 0.17127019322449188-1264.92203530584i
107.5                                             1258.136869555659                                 0.1730053018997709-1258.136857660755i
108                                               1251.4256393895405                                0.17488127817959462-1251.4256271700922i
108.5                                             1244.7688236918245                                0.17691990396279866-1244.7688111189468i
109                                               1238.1466324417438                                0.1791438907188219-1238.1466194818354i
109.5                                             1231.534907360966                                 0.18158843702651406-1231.5348939734604i
110                                               1224.8984893734012                                0.18431951979652061-1224.8984755054416i
110.5                                             1218.1767329510526                                0.18747920988620909-1218.176718524388i
111                                               1211.2410120603215                                0.1915164573388633-1211.2409969194234i
111.5                                             1203.7246057480834                                0.1979067330988458-1203.7245894789653i
112                                               1193.3257867261902                                0.2275937372613001-1193.3257650225992i
112.5                                             1199.7027124921808                                0.2798089232661465-1199.7026798619993i
113                                               1182.8388707697486                                0.2309566017496741-1182.8388482218963i
113.5                                             1148.38869357049                                  0.5072431971916165-1148.388581545844i
114                                               1206.1198233557009                                0.3310043427566793-1206.1197779357208i
114.5                                             1184.2455923711514                                0.22701233164606532-1184.2455706127425i
