% Model:              biconAndDipole_box_12.31.21.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:41
% Table:              Table 8 - Global Evaluation 6
% freq (MHz)                                      abs(emw.Zport_2) (Ω)                              (emw.Zport_2) (Ω)
251                                               422.88621147793305                                0.26631406675061414-422.8861276218185i
251.5                                             319.57167579902307                                2.1359241872761703-319.56453777110835i
252                                               480.17393959858293                                0.3933421216224372-480.17377849232764i
252.5                                             422.5454722892615                                 1.8814819760636523-422.5412834004848i
253                                               449.62184889224125                                0.1754801571127843-449.6218146487021i
253.5                                             440.4540242365115                                 0.13405228140768408-440.45400383709i
254                                               435.79664860276796                                0.19754702332484023-435.7966038286416i
254.5                                             435.008921896155                                  0.12938721695587413-435.00890265396083i
255                                               430.04822196522133                                0.13379859749683612-430.0482011512007i
255.5                                             427.6787335767306                                 0.12548180519963623-427.6787151684225i
256                                               424.1694893610205                                 0.9584418259320204-424.16840652511496i
256.5                                             420.2884049821669                                 0.13140459023500767-420.28838444012183i
257                                               390.30956406223663                                2.327122238226252-390.3026265611616i
257.5                                             417.83878043356907                                0.1392921625521459-417.838757216113i
258                                               412.7084669541123                                 0.14199971027158864-412.7084425253449i
258.5                                             392.28095185077865                                0.7450835748418269-392.2802442583866i
259                                               409.06451361671037                                0.19156316465804274-409.06446876260196i
259.5                                             410.7428792256746                                 0.2427366151235783-410.7428075006704i
260                                               393.6333076335799                                 0.5323391287418844-393.63294767283463i
260.5                                             406.0258985225685                                 0.21223104096214693-406.0258430556414i
261                                               399.5430351515215                                 0.19428236922058492-399.54298791550696i
261.5                                             392.2136888926934                                 0.21424359353164038-392.21363037826353i
262                                               377.4513403143584                                 0.3058034680907467-377.451216436435i
262.5                                             113.53580547140798                                14.320869394005065-112.629000811697i
263                                               416.50242019788163                                0.3572471399017697-416.5022669868362i
263.5                                             402.9330379243611                                 1.1030089815765307-402.9315282056508i
264                                               429.6392014844061                                 0.48292336706903827-429.63893007638364i
264.5                                             407.2868233215035                                 0.3111596644653071-407.28670446134726i
265                                               395.21516332684854                                0.6762261717476813-395.2145848037901i
265.5                                             398.5501130907721                                 0.2779330381972558-398.5500161810227i
266                                               414.5596085392703                                 0.4592071898723051-414.5593542075607i
266.5                                             407.7130054776717                                 0.42661211380403696-407.7127822839754i
267                                               394.2917012012487                                 0.3122195157397025-394.2915775858632i
267.5                                             382.7201203273571                                 0.4806886825976985-382.71981845963654i
268                                               397.3781142032129                                 0.4626640959783787-397.37784486510566i
268.5                                             390.2341526552373                                 0.5465343434657631-390.23376993638374i
269                                               383.70009835493073                                1.9997749780650345-383.6948870881923i
269.5                                             383.77642468981037                                0.8788689415218087-383.7754183595887i
270                                               379.74787631820425                                1.9612264091051197-379.7428118597617i
270.5                                             375.25095537951245                                6.4943340286697495-375.1947536130548i
271                                               385.63011795112016                                11.61039860259021-385.45529768740215i
271.5                                             383.1803679843428                                 2.321841396378491-383.17333344212045i
272                                               378.77058964585785                                0.7428220196820474-378.76986125630157i
272.5                                             375.63571481253734                                0.33456355085619555-375.6355658213907i
273                                               372.77808771337914                                0.18672239694546772-372.7780409492897i
273.5                                             370.11728235067363                                0.12632717887342676-370.1172607918903i
274                                               367.35623678259464                                0.10335308182910526-367.35622224376465i
274.5                                             364.2783539205702                                 0.1024915592194507-364.2783395023104i
275                                               362.45116698085025                                0.24843159787472516-362.451081840738i
275.5                                             381.67283222267105                                0.8222971114104068-381.6719464203988i
276                                               359.9654314090448                                 0.15560003450991727-359.96539777891013i
276.5                                             354.9110104181973                                 0.18131005226585178-354.9109641061131i
277                                               345.33240451838077                                0.340653596076562-345.33223649925014i
277.5                                             351.5916836341086                                 0.31648767139141604-351.591541189803i
278                                               336.25829881194113                                0.39418808170312825-336.2580677629266i
278.5                                             378.65088163789187                                0.7513529135244209-378.6501361863642i
279                                               349.9453569058022                                 0.3178819920819441-349.94521252757323i
279.5                                             338.42001843098603                                0.39249370691833324-338.4197908271899i
280                                               314.01605080703905                                0.5811233938282435-314.0155130882073i
280.5                                             528.0891486142626                                 36.77923124336063-526.8068308529078i
281                                               357.5462662804893                                 0.533024583989117-357.5458689677611i
281.5                                             328.6469649776018                                 0.6800371234357964-328.64626140958876i
282                                               405.2900431945345                                 1.4132950749142785-405.2875790221789i
282.5                                             356.1479873207844                                 0.6398497466303685-356.14741254843807i
283                                               342.37811813816404                                0.7472573102801516-342.3773026740278i
283.5                                             325.1239246653099                                 0.9966165517847756-325.12239717562187i
284                                               177.10623772734868                                6.001679124759588-177.0045177096324i
284.5                                             379.95626689830203                                1.7164231836188912-379.95238997372877i
285                                               355.3817770913905                                 0.9027775363737222-355.3806304251184i
285.5                                             343.48493865692126                                2.1771433848521577-343.47803878971763i
286                                               333.22161841819906                                3.4086858366235817-333.2041834102793i
286.5                                             314.6913080042837                                 5.623760680373271-314.64105366156025i
287                                               584.8208761448142                                 18.869235276190036-584.516389107166i
287.5                                             361.17006218436137                                12.737243843584409-360.9453925977232i
288                                               352.0729448641404                                 14.647952936431457-351.76809971923285i
288.5                                             357.32654592153284                                10.290447595748478-357.1783407605961i
289                                               350.20209100946386                                5.688559949412722-350.1558864750138i
289.5                                             345.13899905007383                                2.9587844588417624-345.1263163825862i
290                                               340.5905755418326                                 1.4813005802026273-340.5873542815527i
290.5                                             336.0516139783229                                 0.6753591398052136-336.0509353468132i
291                                               326.6211431348657                                 0.4728421043399998-326.62080087323096i
291.5                                             333.14161788087995                                0.16617863596113824-333.1415764340308i
292                                               326.50718805479914                                0.36226751816291275-326.5069870825083i
292.5                                             323.04264106581707                                1.7171203648371078-323.03807739093384i
293                                               323.5162155647875                                 1.7959649770247688-323.51123047455917i
293.5                                             318.31551719964233                                1.7716273637354385-318.3105870475562i
294                                               314.5428831634849                                 4.316732881975728-314.51326071570236i
294.5                                             314.3077027944417                                 7.808269180575423-314.2106983670715i
295                                               313.66186601817975                                10.490753602480233-313.4863797405855i
295.5                                             306.3087996050938                                 10.368304867017473-306.13326994905026i
296                                               319.8766489646865                                 7.4083674274680344-319.7908482820247i
296.5                                             316.5700109932472                                 5.342852268537553-316.52492127777435i
297                                               312.8357974005959                                 3.369793325133838-312.817647565179i
297.5                                             308.4830072582146                                 2.183052491852213-308.4752827195228i
298                                               303.5509051796749                                 1.357753921137428-303.54786861332036i
298.5                                             297.88287523782304                                0.9061147417824469-297.88149710250076i
299                                               269.2472596846142                                 1.0714331340067171-269.2451278643932i
299.5                                             308.66595891524224                                0.6636688878664669-308.66524543050406i
300                                               304.4281306949096                                 0.18717957102588773-304.4280731506297i
