% Model:              biconAndDipole_box_12.31.21.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:41
% Table:              Table 10 - s22
% freq (MHz)                                      abs(emw.S22) (1)                                  S22 (1)
68.5                                              0.9999232481204066                                0.9987053920473954-0.04933601146345683i
69                                                0.9999221753688438                                0.9986858706856792-0.04970803242080312i
69.5                                              0.9999211012129436                                0.9986662041816367-0.05008014852561398i
70                                                0.9999200795418665                                0.9986464465976965-0.05045235543368188i
70.5                                              0.9999191702642783                                0.9986266569991215-0.05082466913578353i
71                                                0.9999184298926894                                0.9986068898635133-0.05119712839781413i
71.5                                              0.9999179009748336                                0.9985871846178582-0.051569791611918554i
72                                                0.9999176040220197                                0.9985675579589135-0.05194272831791356i
72.5                                              0.9999175349229387                                0.9985480018367968-0.05231600781889452i
73                                                0.9999176684238086                                0.9985284874752567-0.05268968899587344i
73.5                                              0.9999179656857586                                0.9985089732789624-0.053063814247925056i
74                                                0.9999183827929928                                0.9984894134466769-0.053438408305875755i
74.5                                              0.999918877682591                                 0.9984697648041305-0.05381348082029959i
75                                                0.9999194143943807                                0.9984499908520388-0.054189030719924924i
75.5                                              0.9999199647989433                                0.9984300632688025-0.05456505076122514i
76                                                0.9999205086816447                                0.9984099618179585-0.0549415309653993i
76.5                                              0.9999210338197869                                0.9983896743940314-0.05531845929354354i
77                                                0.9999215346442009                                0.9983691954562474-0.05569582577948856i
77.5                                              0.9999219989578093                                0.9983485095528749-0.05607367897092637i
78                                                0.999922402394512                                 0.9983276147709577-0.05645161110316184i
78.5                                              0.9999227938391635                                0.9983065122140644-0.056830461111171175i
79                                                0.999923150288617                                 0.9982852148115738-0.05720958286617698i
79.5                                              0.9999234706094392                                0.998263711840699-0.0575891369761339i
80                                                0.9999237600456291                                0.9982420070471303-0.05796914067248079i
80.5                                              0.9999240208650286                                0.9982201012278714-0.058349610174399075i
81                                                0.9999242553146059                                0.9981979949104139-0.058730565494454226i
81.5                                              0.9999244655587418                                0.9981756881735125-0.05911203229690341i
82                                                0.9999246536225213                                0.9981531804532213-0.0594940440148258i
82.5                                              0.9999248213601182                                0.998130470317744-0.05987664482369773i
83                                                0.9999249704358386                                0.9981075551446975-0.06025989432605585i
83.5                                              0.9999251023124318                                0.9980844306223089-0.060643875072991967i
84                                                0.9999252182368941                                0.9980610899151237-0.06102870524217012i
84.5                                              0.9999253192127022                                0.9980375221932576-0.0614145609523279i
85                                                0.9999254059280362                                0.9980137098449572-0.06180171827589866i
85.5                                              0.9999254785654893                                0.997989622790065-0.06219063826466756i
86                                                0.9999255362899664                                0.9979652056381513-0.0625821576839537i
86.5                                              0.9999255757283079                                0.9979403445397994-0.0629779781778865i
87                                                0.9999255852870976                                0.9979147629002159-0.06338219069699921i
87.5                                              0.9999255133255883                                0.9978875684577021-0.06380778100683576i
88                                                0.9999248521627565                                0.9978533849693106-0.06432986925215388i
88.5                                              0.9999050643663961                                0.9979061970626187-0.06319303450214127i
89                                                0.9999254199674792                                0.997831721135672-0.0646738107162567i
89.5                                              0.9999257006608608                                0.997801402673744-0.06514420668350027i
90                                                0.9999257506760478                                0.9977740412099115-0.06556271465322068i
90.5                                              0.9999257635809615                                0.9977474003168106-0.06596709660137397i
91                                                0.9999257594604433                                0.9977209485987718-0.066365903592968i
91.5                                              0.9999257451437819                                0.9976944976554754-0.06676215357023918i
92                                                0.9999257232149484                                0.9976679625250506-0.06715719245212459i
92.5                                              0.999925694846664                                 0.9976412981226699-0.06755172458714902i
93                                                0.9999256606388244                                0.9976144772472815-0.0679461668574672i
93.5                                              0.9999256208883953                                0.9975874814581838-0.06834079416396083i
94                                                0.9999255757124244                                0.9975602967598549-0.06873580793308125i
94.5                                              0.9999255251321945                                0.997532911305905-0.06913137256311612i
95                                                0.9999254691368054                                0.9975053139880002-0.06952763762822224i
95.5                                              0.9999254206242265                                0.9974775099061678-0.0699247026588412i
96                                                0.9999253409475348                                0.9974494369621755-0.07032288512911648i
96.5                                              0.9999252676446923                                0.9974211284887922-0.07072222648116851i
97                                                0.9999251888089792                                0.9973925499838936-0.07112302335600632i
97.5                                              0.9999251036310076                                0.9973636759198752-0.07152559560797492i
98                                                0.999925011577857                                 0.997334471744289-0.07193038474467803i
98.5                                              0.9999249118129662                                0.9973048878156725-0.07233802598313735i
99                                                0.9999248029713796                                0.9972748492307946-0.07274947896066539i
99.5                                              0.9999246826876325                                0.9972442363213248-0.07316627755913445i
100                                               0.9999245465040794                                0.9972128438816443-0.07359105039929775i
100.5                                             0.9999243849729131                                0.997180285953419-0.07402873070177571i
101                                               0.9999241744629626                                0.9971457369048712-0.07448982512987037i
101.5                                             0.99992383705978                                  0.9971070442240272-0.07500148184654408i
102                                               0.999922995418995                                 0.9970563072325828-0.07566185944992988i
102.5                                             0.9999150907450911                                0.9969212828752394-0.07731846125053597i
103                                               0.9999144691326364                                0.9971950256734847-0.07369549750737982i
103.5                                             0.9999229230918877                                0.9970665182315779-0.07552622290425838i
104                                               0.999923358134999                                 0.9970154193564448-0.07620351507290164i
104.5                                             0.9999233356657138                                0.9969755005666824-0.07672371522978294i
105                                               0.9999232072084182                                0.99693915923891-0.07719283056077597i
105.5                                             0.9999230234754648                                0.9969042848252654-0.07763955031645402i
106                                               0.999922992163778                                 0.9968703016866454-0.07807427151718771i
106.5                                             0.9999227066744326                                0.9968362928322557-0.07850365988645835i
107                                               0.9999224924709076                                0.9968024551607644-0.0789294389610407i
107.5                                             0.9999222687611508                                0.9967685416792521-0.07935375153742978i
108                                               0.9999220331369256                                0.9967344441239807-0.07977794337749092i
108.5                                             0.9999217835577325                                0.9967000658720058-0.0802031914827351i
109                                               0.999921517816343                                 0.9966653025738997-0.08063074126792986i
109.5                                             0.9999212326882092                                0.9966300190293279-0.08106217829733658i
110                                               0.9999209225166548                                0.9965940096215108-0.08149988511082706i
110.5                                             0.9999205757042887                                0.9965569095776445-0.08194805482652127i
111                                               0.9999201576889265                                0.9965179268571585-0.08241567329676208i
111.5                                             0.9999195558974255                                0.9964747788693449-0.08292848330576755i
112                                               0.9999172387009655                                0.9964122773210837-0.08364841812715552i
112.5                                             0.9999137849394242                                0.9964459328249646-0.08320504953709973i
113                                               0.9999167172360991                                0.9963494443868639-0.08438735733630129i
113.5                                             0.9998948139967696                                0.9961107982588755-0.08690751779737103i
114                                               0.9999104762838841                                0.9964793754137667-0.08276360889456943i
114.5                                             0.9999170367349715                                0.9963582175010997-0.08428750067997996i
115                                               0.9999172483791895                                0.9963003240104802-0.08497157161558148i
115.5                                             0.9999169974008097                                0.9962544629591222-0.08550465908406349i
116                                               0.9999165989727543                                0.9962121654121743-0.08599143205009838i
116.5                                             0.9999161367237331                                0.9961716575085653-0.08645408756763885i
117                                               0.9999156602928639                                0.9961320412628746-0.08690387832756882i
117.5                                             0.9999151703730899                                0.9960928655277297-0.0873461572537765i
118                                               0.9999146789248061                                0.9960538986037814-0.08778380377670016i
118.5                                             0.9999142004121198                                0.9960150100530281-0.08821852376272912i
119                                               0.9999137549546117                                0.9959761272728677-0.0886514029780224i
119.5                                             0.9999133719950373                                0.9959372165818516-0.08908317530083763i
120                                               0.9999130954014431                                0.9958982762027762-0.08951436650970855i
120.5                                             0.9999129908499131                                0.9958593364124118-0.08994537981825043i
121                                               0.9999131560935881                                0.9958204647018353-0.0903765556439343i
121.5                                             0.9999137331672976                                0.9957817732141543-0.09080822600974135i
122                                               0.9999149156094503                                0.9957434198903866-0.09124078146997289i
122.5                                             0.9999169224984323                                0.9957055740136525-0.09167476084985873i
123                                               0.9999198215309393                                0.9956682200094475-0.09211104794585603i
123.5                                             0.9999235858343679                                0.9956312407493085-0.092550580505219i
124                                               0.9999270023132797                                0.995593301017869-0.09299456394631074i
124.5                                             0.9999282850291827                                0.9955526029743375-0.09344297679560408i
125                                               0.9999262425857018                                0.9955080621209597-0.0938945624822408i
125.5                                             0.9999213123652801                                0.9954602272568702-0.09434811536010865i
126                                               0.9999148897918154                                0.995410468319336-0.09480393656203624i
126.5                                             0.9999080852952839                                0.9953597232317165-0.09526384627423654i
127                                               0.9999013720087808                                0.9953081764926142-0.0957308077475042i
127.5                                             0.999894787199118                                 0.9952554117026345-0.09620941193349446i
128                                               0.9998882168061086                                0.9952005154267484-0.09670770497759741i
128.5                                             0.9998813752995551                                0.9951414649404029-0.09724314591372821i
129                                               0.9998737803732622                                0.9950730054639142-0.09786363203423194i
129.5                                             0.9998635251666775                                0.9949732141548507-0.09876928709422206i
130                                               0.9997828911611337                                0.994429986751815-0.10331907329869146i
130.5                                             0.999851627701416                                 0.9951467930671862-0.09688208123933865i
131                                               0.9998451767019533                                0.9949982774435795-0.09833008318144407i
131.5                                             0.9998348389722481                                0.9949160984774638-0.0990538349234541i
132                                               0.9998231816075278                                0.9948463420548946-0.09963508508449835i
132.5                                             0.9998101764694534                                0.9947800084991409-0.10016548139118905i
133                                               0.9997956274804073                                0.9947141358576833-0.10067315756369107i
133.5                                             0.9997794164588237                                0.9946474561790946-0.10116975581270458i
134                                               0.9997615232198918                                0.9945793525007369-0.10166127527319853i
134.5                                             0.9997419211700685                                0.9945094004812486-0.10215165832842422i
135                                               0.9997207880417733                                0.9944374255243092-0.10264434109802684i
135.5                                             0.9996986914764012                                0.9943635477076803-0.10314363155243646i
136                                               0.9996762912385809                                0.994287666108304-0.10365676190883957i
136.5                                             0.9996545304995146                                0.9942091500426599-0.1041985907757721i
137                                               0.9996342884719115                                0.9941248070864165-0.1048073405069511i
137.5                                             0.9996146956256671                                0.9940177793727921-0.10563235300597197i
138                                               0.9993325723669497                                0.9930802012243296-0.1116122938111646i
138.5                                             0.9995597535828511                                0.9937058711901496-0.10802010250335695i
139                                               0.9996228022260802                                0.9941923940630705-0.10405397790311322i
139.5                                             0.9996293066046043                                0.9940285935016363-0.10566885030112053i
140                                               0.9996399783900617                                0.9939531715959766-0.10647619015527449i
140.5                                             0.999046161459903                                 0.9930357405911188-0.10942234980302203i
141                                               0.9996721299265662                                0.9938593503360966-0.10764738316108424i
141.5                                             0.9996892735860334                                0.9938043369102846-0.10831243539539122i
142                                               0.9996953579834696                                0.9936900417487126-0.10941165250163908i
142.5                                             0.9997245846198862                                0.9937387715349137-0.10923597869605366i
143                                               0.9997399149797584                                0.9936656110655187-0.11003886126966245i
143.5                                             0.9997531565724437                                0.9935871860179513-0.11086423164165385i
144                                               0.9997635366368873                                0.9934805215013658-0.11190881371040887i
144.5                                             0.9997661946048831                                0.9932791781068933-0.11370540098880004i
145                                               0.9996020781366672                                0.9918788359415951-0.12401890753546417i
145.5                                             0.9997967540977863                                0.9940181148526877-0.10733842205463323i
146                                               0.9998130071205278                                0.9936323836560252-0.1109988079099862i
146.5                                             0.9998183274249964                                0.9934315329543756-0.11282941631878085i
147                                               0.9998176211791874                                0.9931810283010962-0.1150074808140154i
147.5                                             0.9997568246743707                                0.992232274080417-0.12242884772872971i
148                                               0.9998115907456383                                0.9944816576712482-0.10309922184366845i
148.5                                             0.9998492604077176                                0.9937499731329633-0.11027027902428864i
149                                               0.9998542891366717                                0.9935425289100195-0.11216881363410398i
149.5                                             0.9998578299823183                                0.9934175077527537-0.1133019658578699i
150                                               0.9998609313413882                                0.9933201192011153-0.11417978285646879i
150.5                                             0.9998637217335269                                0.9932346639667915-0.11494504919131798i
151                                               0.9998662261269209                                0.9931546718220365-0.11565581691965955i
151.5                                             0.9998684519271058                                0.9930766837537112-0.1163426892582368i
152                                               0.9998703972399648                                0.9929982781358805-0.11702662473121975i
152.5                                             0.999872045642047                                 0.9929171382620117-0.11772707505917634i
153                                               0.9998733449511482                                0.9928302330061837-0.11846870630122053i
153.5                                             0.9998741444124707                                0.9927325459814329-0.11929122689365039i
154                                               0.999874161858813                                 0.9926131884582955-0.12028049572362097i
154.5                                             0.9998721669335817                                0.9924437117841558-0.12165454840877844i
155                                               0.9998621610115677                                0.9921090506843209-0.12427378071410644i
155.5                                             0.9996691351963423                                0.9900294813696695-0.13849189825800687i
156                                               0.9998324980799388                                0.9938085369957915-0.10958839359647184i
156.5                                             0.9998793177583326                                0.9930462899671159-0.11669497017187827i
157                                               0.9998839260761337                                0.9928029241066344-0.11878644497896002i
157.5                                             0.9998853493533849                                0.9926573477882553-0.12000875690351658i
158                                               0.9998860460117147                                0.9925467914399079-0.120925480405434i
158.5                                             0.9998864415923561                                0.9924524853161045-0.12170028952353153i
159                                               0.9998866708435208                                0.9923668536629842-0.12239845702282587i
159.5                                             0.99988678088611                                  0.9922861990557229-0.12305150854148052i
160                                               0.9998854719937111                                0.9922078512442354-0.12367108406326766i
160.5                                             0.9998866962246096                                0.992132171556058-0.12428660205519043i
161                                               0.9998865757018239                                0.9920560410537096-0.12489185592967951i
161.5                                             0.9998866303171805                                0.9919764571263331-0.12552283455265922i
162                                               0.9998719902905983                                0.9919324953278544-0.12575341617760602i
162.5                                             0.9998824759418912                                0.9918283440830321-0.12665504952111858i
163                                               0.9998785121991345                                0.991797233031737-0.12686720501431856i
163.5                                             0.9998801407885811                                0.9916926626191674-0.12769478787600883i
164                                               0.9998766954779692                                0.9916604441692763-0.12791782373827745i
164.5                                             0.9998781221817008                                0.9915602706902272-0.1287031033282706i
165                                               0.9998761443308217                                0.9914794016452287-0.1293093195214078i
165.5                                             0.9998737771780543                                0.9913997026551734-0.12990073080449904i
166                                               0.9998708690065067                                0.9913191795178217-0.13049152849108495i
166.5                                             0.9998674172622947                                0.9912372331484235-0.13108623010457512i
167                                               0.9998633551843211                                0.9911534086526796-0.13168769705869252i
167.5                                             0.9998586312897654                                0.9910673088112217-0.13229842013541052i
168                                               0.9998532399678517                                0.9909785561414269-0.13292103950113845i
168.5                                             0.9998472634349022                                0.9908867801672809-0.13355874770295417i
169                                               0.999841433400234                                 0.9907920845144581-0.1342160095045649i
169.5                                             0.9998353032570042                                0.990693270540126-0.1348980257288235i
170                                               0.9998307841203409                                0.9905909213833038-0.1356142446340824i
170.5                                             0.999828801349385                                 0.9904839985656326-0.1363784462192754i
171                                               0.9998299426531813                                0.9903706042656912-0.1372078001874286i
171.5                                             0.9998353546615663                                0.9902445078510084-0.1381540846378935i
172                                               0.9998428585613106                                0.9900956346360034-0.1392708730883192i
172.5                                             0.999850726178441                                 0.9899010256878977-0.14070335454993138i
173                                               0.9998559130454878                                0.9896036274475365-0.1428163414834018i
173.5                                             0.9998491682343351                                0.9889858439203256-0.14698761765568222i
174                                               0.9996317407718844                                0.9853815332832122-0.16818695259458633i
174.5                                             0.9998002962070791                                0.9922344206504174-0.12276598377520366i
175                                               0.9996781335124205                                0.9908015334279217-0.13292363213422928i
175.5                                             0.99851894600743                                  0.9884457141056893-0.14147492994125485i
176                                               0.9998742865720123                                0.9910652340962046-0.13243221176785383i
176.5                                             0.9998962865694387                                0.9903984354936219-0.13749008279559355i
177                                               0.9998954967170127                                0.9900090511237276-0.14026076802890436i
177.5                                             0.994964741365711                                 0.982259811828223-0.15849447507127845i
178                                               0.9998988178566244                                0.9899069721860378-0.1410029516306155i
178.5                                             0.999900552494961                                 0.9896093733090855-0.14308879459457108i
179                                               0.9998982740482188                                0.9893056648419233-0.14515805164126178i
179.5                                             0.9998900109321001                                0.988866637922233-0.14806352138921527i
180                                               0.9998672319941649                                0.9880089626738099-0.15353426748415308i
180.5                                             0.9993801497292006                                0.9817239422686767-0.18702616086849297i
181                                               0.999769113342884                                 0.9924596083863186-0.12067396453291565i
181.5                                             0.9998746076717456                                0.9904558825658099-0.13691740487428877i
182                                               0.9985908587549635                                0.9845291378493309-0.1669912570005643i
182.5                                             0.9998832345143229                                0.9902669835510066-0.13833937961265677i
183                                               0.9998883803297588                                0.9898555305667408-0.1412897792655383i
183.5                                             0.9998849530880954                                0.98961112721777-0.14296760576703174i
184                                               0.9998785912356649                                0.989414279123871-0.14427952549550668i
184.5                                             0.9998630410801096                                0.9892233575815429-0.14547594211093393i
185                                               0.9939230399497975                                0.9804198010909768-0.16327897284027795i
185.5                                             0.9998476887556406                                0.9890553818754075-0.1465088812778527i
186                                               0.9998331641486159                                0.9888872516012669-0.1475410442959036i
186.5                                             0.9998144768646241                                0.9887359769467076-0.1484255909178791i
187                                               0.999469749606255                                 0.9884056783297569-0.14830372693726632i
187.5                                             0.9997373982267307                                0.9884475843962515-0.1498206872042978i
188                                               0.9997011785408071                                0.988296070026898-0.15057663944074262i
188.5                                             0.9996569394560089                                0.9881420758480807-0.1512918852457082i
189                                               0.9996105113126651                                0.9879887849443174-0.15198465432739966i
189.5                                             0.9995678854019946                                0.9878409878476067-0.15266348697471727i
190                                               0.9995352204111672                                0.9877032550846099-0.15333928634784577i
190.5                                             0.9995166009414699                                0.9875771576070506-0.15402854712801917i
191                                               0.9995123751510123                                0.9874594248989934-0.15475423179405226i
191.5                                             0.9995191953606808                                0.9873374968878382-0.1555740631780271i
192                                               0.999531432995341                                 0.9871922230106082-0.15657139065963943i
192.5                                             0.99952513529508                                  0.9868386840524419-0.15874478808544504i
193                                               0.9995110139446859                                0.9880442540417566-0.1509662844869768i
193.5                                             0.9996063578113215                                0.987327952311756-0.15619342227088343i
194                                               0.9996250554520372                                0.9871407367017125-0.1574910074622948i
194.5                                             0.9996407542740675                                0.987003590564044-0.1584473092839125i
195                                               0.9996528080576321                                0.9868730793809435-0.15933380636476088i
195.5                                             0.999665335702532                                 0.9867484382111916-0.16018209354678203i
196                                               0.99967119070782                                  0.9865942975417149-0.16116507558823256i
196.5                                             0.9996635875358529                                0.9863730840173406-0.16246669619085752i
197                                               0.9996879413966356                                0.9864239938172349-0.16230737689796784i
197.5                                             0.9996938050173497                                0.9862461521967372-0.16342041202737528i
198                                               0.9996958479719854                                0.9860619141819371-0.16454084554383758i
198.5                                             0.9996818534606089                                0.98575159960347-0.166305718535589i
199                                               0.9996940845158933                                0.9857412668268756-0.16644043225916075i
199.5                                             0.9996779920150562                                0.9852763213131853-0.16907589532163234i
200                                               0.9995755782281252                                0.9867282826286391-0.159745525292032i
