% Model:              biconAndDipole_box_12.31.21.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:41
% Table:              Table 9 - s21
% freq (MHz)                                      abs(emw.S12) (1)                                  S12 (1)
30                                                8.190650717166949E-5                              -4.426004686353028E-5-6.891824264083385E-5i
35                                                1.233186884986336E-4                              -7.780998550785002E-5-9.567186152830514E-5i
40                                                1.8725674977120013E-4                             -1.3489554077463167E-4-1.2987795584314354E-4i
42                                                2.2220596632747749E-4                             -1.6787705467367035E-4-1.4557742265070345E-4i
44                                                2.645015808888219E-4                              -2.089669548769105E-4-1.6215393323061033E-4i
46                                                3.1603416664849126E-4                             -2.6035755684330927E-4-1.7914110941877448E-4i
48                                                3.7931459495712584E-4                             -3.2493157805812517E-4-1.9570138356216326E-4i
50                                                4.577343063821763E-4                              -4.065272012131095E-4-2.1037188479691875E-4i
50.5                                              4.8021681633670103E-4                             -4.301538645793457E-4-2.1348499591308703E-4i
51                                                5.040159537928469E-4                              -4.5525617342689667E-4-2.1627274038679174E-4i
51.5                                              5.292294932060947E-4                              -4.819376601208266E-4-2.186777268869477E-4i
52                                                5.559624612750142E-4                              -5.103107506059742E-4-2.2062909183273816E-4i
52.5                                              5.843299875875451E-4                              -5.404973502820982E-4-2.2204537539001243E-4i
53                                                6.144580749452698E-4                              -5.726292675366702E-4-2.228327799626067E-4i
53.5                                              6.464848237607076E-4                              -6.068490120073846E-4-2.2288316216927259E-4i
54                                                6.805618114248273E-4                              -6.43310621661775E-4-2.2207166236821557E-4i
54.5                                              7.168556461480025E-4                              -6.821805015989597E-4-2.2025390042508172E-4i
55                                                7.555497164653036E-4                              -7.236382482830053E-4-2.1726265135246827E-4i
55.5                                              7.968461601104175E-4                              -7.678774209786822E-4-2.1290389670892512E-4i
56                                                8.409680767817972E-4                              -8.151062039088029E-4-2.069521261438392E-4i
56.5                                              8.881620097000735E-4                              -8.65547877877426E-4-1.991447377571348E-4i
57                                                9.38700720085583E-4                               -9.194409859228705E-4-1.8917535593827213E-4i
57.5                                              9.928862740483234E-4                              -9.770390287091029E-4-1.7668584995051247E-4i
58                                                0.00105105345582929                               -0.0010386094608987732-1.6125679750712295E-4i
58.5                                              0.0011135735053949417                             -0.0011044316658173087-1.42396093547481E-4i
59                                                0.0011808581575454735                             -0.0011747934611590354-1.1952536073848245E-4i
59.5                                              0.0012533639216766336                             -0.0012499855133854794-9.196377812524885E-5i
60                                                0.0013315964846908972                             -0.00133029280134195-5.8908919010128996E-5i
60.5                                              0.001416115029483727                              -0.0014159819440009488-1.9414195656550387E-5i
61                                                0.0015075361273476026                             -0.001507282769811383+2.7637421875651627E-5i
61.5                                              0.0016065366546113204                             -0.001604361914912265+8.356356017297826E-5i
62                                                0.0017138548509559415                             -0.0017072854428014546+1.4991619973656476E-4i
62.5                                              0.0018302878257332928                             -0.001815966265113042+2.2851706500586294E-4i
63                                                0.0019566748011290774                             -0.0019300866533244175+3.214681757693355E-4i
63.5                                              0.0020940004723141335                             -0.00204909112264133+4.3135084231320095E-4i
64                                                0.002242991244860071                              -0.002171734423585664+5.608737094319672E-4i
64.5                                              0.002404642695188348                              -0.0022964133417119523+7.132967513805371E-4i
65                                                0.0025797109223529443                             -0.002420537701377016+8.921354600729371E-4i
65.5                                              0.0027687814794962263                             -0.002540412687101609+0.0011011150078054945i
66                                                0.002972110154903127                              -0.002650902484185873+0.0013439325846988958i
66.5                                              0.0031894318443037267                             -0.0027450983598505184+0.0016238566698464076i
67                                                0.0034197155570746458                             -0.002814041190841946+0.0019430971842764827i
67.5                                              0.003660872533566369                              -0.002846619060928549+0.0023019008729697533i
68                                                0.003909448116591108                              -0.0028298273487281857+0.002697380535391283i
68.5                                              0.004160363469493643                              -0.002749628913800465+0.003122205155765658i
69                                                0.0044068154077621016                             -0.0025926282625268965+0.003563467514996625i
69.5                                              0.004640472209047535                              -0.0023485950140049775+0.004002259834535168i
70                                                0.004852085547538341                              -0.0020134887802195057+0.004414589119336091i
70.5                                              0.005032538766029032                              -0.0015921367559931455+0.004774049327541625i
71                                                0.005174171877077815                              -0.0010993959846610135+0.005056024434519101i
71.5                                              0.005272039259100638                              -5.588822704150169E-4+0.005242332358532236i
72                                                0.005324694579429025                              7.271752276891651E-7+0.005324694529775115i
72.5                                              0.005334240188846844                              5.506748643312596E-4+0.0053057398716958i
73                                                0.005305664685349213                              0.0010666717444737202+0.005197334811507063i
73.5                                              0.005245750075394077                              0.0015316696336799373+0.0050171587563839085i
74                                                0.0051619181933951035                             0.001936479618658554+0.0047849186118285635i
74.5                                              0.005061299624551282                              0.0022787273810923967+0.004519309174214875i
75                                                0.004950145737851988                              0.0025609923454813334+0.004236184725948601i
75.5                                              0.004833566535987002                              0.0027888654146654922+0.003947859566486131i
76                                                0.004715507063780673                              0.0029693489634286295+0.0036631917233405555i
76.5                                              0.004598865195573041                              0.0031097379146576266+0.0033880807530508924i
77                                                0.004485665399501588                              0.0032169350578020732+0.0031261034708035037i
77.5                                              0.004377235618431685                              0.0032970842020658884+0.0028791365760857126i
78                                                0.0042741761160473585                             0.003355284723828317+0.0026477624313812624i
78.5                                              0.004177364799494471                              0.003396380375188883+0.002432072576032077i
79                                                0.004086656511422165                              0.0034237355181778273+0.0022313217033670387i
79.5                                              0.004002075227658758                              0.0034403547388913848+0.002044643098055867i
80                                                0.003923485021371015                              0.00344863063646974+0.0018710108086606632i
80.5                                              0.0038506656176947223                             0.003450471770852507+0.0017093479042740959i
81                                                0.0037833513664839408                             0.003447398669349487+0.0015585858901078532i
81.5                                              0.0037212544939713515                             0.003440618954462528+0.0014177010330444005i
82                                                0.0036640807096213804                             0.003431089564856931+0.001285733971142317i
82.5                                              0.0036115396641219727                             0.0034195675488591926+0.0011617988312592603i
83                                                0.0035633518740153616                             0.0034066511965889657+0.0010450857394624406i
83.5                                              0.0035192533035675994                             0.0033928132747668214+9.348592927481116E-4i
84                                                0.003478998559052105                              0.0033784280336130986+8.304546920716111E-4i
84.5                                              0.003442363597472177                              0.0033637936099200454+7.312726489228609E-4i
85                                                0.0034091490852744565                             0.0033491516295798118+6.367737806399971E-4i
85.5                                              0.0033791864364799665                             0.0033347066278577395+5.464729440803432E-4i
86                                                0.003352351371070085                              0.003320650635202496+4.599337713679417E-4i
86.5                                              0.003328599447972413                              0.0033072078150556306+3.767635240800419E-4i
87                                                0.003308078336494901                              0.0032947542882201942+2.966082612496009E-4i
87.5                                              0.003291609779459712                              0.003284306497923251+2.1914782210627975E-4i
88                                                0.0032846336012397974                             0.0032814725373289944+1.4406901522927678E-4i
88.5                                              0.003156806939940717                              0.003156047942571967+6.922023002798604E-5i
89                                                0.0032252538772868555                             0.003225253876622009+6.548739193575515E-8i
89.5                                              0.0032207797296009253                             0.0032200358896542834-6.921658722125319E-5i
90                                                0.0032143785239425694                             0.003211455770638102-1.3704425715236628E-4i
90.5                                              0.0032087736010763044                             0.003202309584522281-2.0357148091255573E-4i
91                                                0.003204527694516679                              0.003193220389360451-2.6896336162583886E-4i
91.5                                              0.0032017998735205206                             0.0031843969306180274-3.3337459163305526E-4i
92                                                0.0032006324824728496                             0.0031759219495227703-3.969484329227184E-4i
92.5                                              0.003201026467718589                              0.0031678284580360914-4.5981877679323436E-4i
93                                                0.00320296719662885                               0.003160126371492696-5.221112705897878E-4i
93.5                                              0.0032064348883471864                             0.0031528136193708983-5.83944325016871E-4i
94                                                0.003211409352737948                              0.0031458814403763327-6.454300844773947E-4i
94.5                                              0.0032178723709769493                             0.003139317203714139-7.066753783465595E-4i
95                                                0.0032258090436106408                             0.0031331060905182727-7.677826589585775E-4i
95.5                                              0.003235205781477707                              0.0031272311396715693-8.288436810251003E-4i
96                                                0.0032460648004941145                             0.0031216788819606305-8.89976205821213E-4i
96.5                                              0.0032583786994200077                             0.00311643197610692-9.512536397472235E-4i
97                                                0.003272156379993651                              0.0031114769807969547-0.0010127775536137352i
97.5                                              0.0032874134788358203                             0.00310680373330441-0.001074643170339444i
98                                                0.003304176839804513                              0.003102407475651495-0.001136948742785821i
98.5                                              0.0033224893555660944                             0.0030982929734762396-0.0011997983865457403i
99                                                0.0033424184340908377                             0.0030944816090629603-0.001263306993458581i
99.5                                              0.0033640722482279574                             0.003091025053019928-0.0013276092094063876i
100                                               0.0033876336183239794                             0.003088033897055181-0.0013928776624804518i
100.5                                             0.0034134387657437843                             0.0030857444290230333-0.0014593647680534718i
101                                               0.0034421899785070796                             0.0030846993066996303-0.0015275149869580303i
101.5                                             0.0034756755222700806                             0.003086357734689385-0.0015983479813952927i
102                                               0.0035203027703968872                             0.003096105360839741-0.0016753098787518133i
102.5                                             0.003631190617814091                              0.0031606210301283006-0.001787741593970392i
103                                               0.00340063725192091                               0.0029326369162621588-0.0017216197130982718i
103.5                                             0.003525959393059376                              0.0030069156339774875-0.0018414255379041007i
104                                               0.003578114283752283                              0.003016717829671654-0.0019241401621849848i
104.5                                             0.0036220054191479253                             0.0030175723696347643-0.002003292352691881i
105                                               0.0036651210334786594                             0.0030156867097735633-0.002082965640269368i
105.5                                             0.003713030379169509                              0.00301517188744751-0.0021668717280406533i
106                                               0.003716869452461553                              0.002980843598533172-0.002220290514262864i
106.5                                             0.0037831212302133267                             0.002989395380163976-0.0023185170914929807i
107                                               0.0038315685020649205                             0.002982701289681422-0.002405080082356677i
107.5                                             0.0038802171891103568                             0.002973653288439643-0.0024926836050368634i
108                                               0.003930364638713116                              0.002962994326849507-0.002582330500207926i
108.5                                             0.003982438319703115                              0.002950811973533522-0.002674420248781215i
109                                               0.004036703912812714                              0.002937047105715601-0.002769247691797374i
109.5                                             0.004093410020059861                              0.0029215927288453545-0.0028671068203128436i
110                                               0.004152864559608548                              0.002904339688319181-0.0029683488718994506i
110.5                                             0.004215546803219117                              0.002885239856480651-0.003073471298175148i
111                                               0.004282420165087097                              0.0028644786485087876-0.0031833762803950565i
111.5                                             0.0043561807530274384                             0.002843249711812273-0.0033003396536305358i
112                                               0.0044541123430087036                             0.002831392307367272-0.0034383621632870375i
112.5                                             0.004427034270341261                              0.002737371838495797-0.003479285537087482i
113                                               0.004573620833937901                              0.0027424830649872595-0.003660163134463942i
113.5                                             0.004825815519866909                              0.0027945062813679567-0.003934365269669729i
114                                               0.00452106793577024                               0.002535031012950617-0.003743484078132075i
114.5                                             0.0046931087738010194                             0.0025285301304346845-0.003953707796766482i
115                                               0.0047966277363081945                             0.002473952419911664-0.004109403492568513i
115.5                                             0.004890572713452913                              0.0024028637832223926-0.00425957123486019i
116                                               0.00498152243385761                               0.0023173662462786884-0.004409691535655852i
116.5                                             0.005071755041942552                              0.0022168253053157887-0.004561620849126027i
117                                               0.005161457707622049                              0.0020991977907837975-0.004715295781044863i
117.5                                             0.00525002383302685                               0.0019615232479197955-0.004869823076377633i
118                                               0.005336172864021755                              0.0018000438875451657-0.00502340351132909i
118.5                                             0.00541781933086543                               0.001610073548743115-0.005173048373013429i
119                                               0.005491769307245042                              0.0013858615278879445-0.00531403029249164i
119.5                                             0.0055531953089934995                             0.0011204961237914774-0.00543897661112784i
120                                               0.0055947782882396525                             8.059931556257758E-4-0.005536417535522607i
120.5                                             0.00560531767732097                               4.3390573157253037E-4-0.0055884981953826796i
121                                               0.005567490961797719                              -2.7760601164550622E-6-0.005567490269698683i
121.5                                             0.005454319985222451                              -5.047493749970635E-4-0.005430914708374374i
122                                               0.005223964269102884                              -0.001055156221395269-0.005116292410849334i
122.5                                             0.004813469571452586                              -0.001596535387047219-0.004540987125417328i
123                                               0.004138176739012375                              -0.0019739566368570972-0.003637032020633158i
123.5                                             0.003095770888626484                              -0.001997578590842295-0.0023650533119309847i
124                                               0.0016448042106279267                             -0.0013197214605925093-9.816904592339333E-4i
124.5                                             1.296290580594915E-4                              1.2219369916109318E-4+4.3271151807171366E-5i
125                                               0.0019923467556247597                             0.0019744771716556204+2.6624329711624203E-4i
125.5                                             0.0037000853476607852                             0.003685175825526167-3.318293460976107E-4i
126                                               0.005137252975336981                              0.004934257034063833-0.0014298516197145223i
126.5                                             0.006312446415916296                              0.0057042759221696705-0.002703371220822225i
127                                               0.007286861864174069                              0.006109363733070492-0.003971653384246587i
127.5                                             0.008125635488957159                              0.006268414466600941-0.00517038994412492i
128                                               0.00888201567373906                               0.006266892474350386-0.006294144989073322i
128.5                                             0.009597605221764362                              0.006157903831502187-0.0073616741570657175i
129                                               0.010311471250476364                              0.005974590128604441-0.008404208002220255i
129.5                                             0.011094104167305323                              0.0057506034729461085-0.009487344569054161i
130                                               0.012820015561149976                              0.005835571654274144-0.011414854464948717i
130.5                                             0.011755763878658463                              0.004693609111381372-0.010778126826138613i
131                                               0.012739018461227217                              0.0043057795398816524-0.011989280792000179i
131.5                                             0.013574967071648894                              0.003741213387096042-0.013049254897830952i
132                                               0.014417834362553368                              0.003045396932016711-0.014092533669730505i
132.5                                             0.01529517743020231                               0.002206485489294716-0.015135186632707968i
133                                               0.016216276167575622                              0.0012019556140324412-0.01617167015014148i
133.5                                             0.017183111609674485                              5.593660415378035E-6-0.01718311069921547i
134                                               0.01819249527092331                               -0.001409083852190297-0.01813784350136652i
134.5                                             0.019235703712518662                              -0.0030658217516667603-0.018989813961774644i
135                                               0.020296483817438545                              -0.004979033368421708-0.01967629238621158i
135.5                                             0.021351343559634795                              -0.007145007673304289-0.020120356287848907i
136                                               0.022368403567209198                              -0.009534772128610813-0.020234465611945467i
136.5                                             0.02331024698054343                               -0.012085226132308722-0.01993276006038543i
137                                               0.024142297389339193                              -0.01470000193800034-0.019150991260456475i
137.5                                             0.024869084895378465                              -0.01728038092512565-0.017884625202002277i
138                                               0.02719467813368146                               -0.021128044704136796-0.017121806148141315i
138.5                                             0.025893352434971987                              -0.021802237489913227-0.01396882746529185i
139                                               0.02423628983116408                               -0.02173698490856597-0.01071919921752379i
139.5                                             0.02429935408140413                               -0.022855245648364875-0.008252051570751966i
140                                               0.023886349557601882                              -0.0232015947698839-0.005678353222726086i
140.5                                             0.023988490058276465                              -0.02378386490229834-0.0031265677004104825i
141                                               0.022507196536241614                              -0.022483855569646643-0.0010247607741693454i
141.5                                             0.021725099293729344                              -0.021706114037816544+9.080488421350278E-4i
142                                               0.02103371437407967                               -0.020874977646885926+0.002579234113526457i
142.5                                             0.01999098118404768                               -0.01960474335312783+0.0039106734405903315i
143                                               0.01923244308559665                               -0.01855781504500532+0.005049194767097876i
143.5                                             0.018505526681220415                              -0.017512331882440425+0.005981032501886385i
144                                               0.017863452707194687                              -0.016536304794453074+0.006756742289530471i
144.5                                             0.017422769949447706                              -0.015742217060035153+0.00746562219417218i
145                                               0.018824029704340075                              -0.016520553642204096+0.00902304835767461i
145.5                                             0.014573854630341982                              -0.012526207734450285+0.007449252216144805i
146                                               0.014651497457314634                              -0.012240392603243985+0.008052277110243231i
146.5                                             0.014374107210616245                              -0.011666630251367178+0.008396707490449703i
147                                               0.014178424805560958                              -0.0111686822799199+0.008734315433801869i
147.5                                             0.014905267423785881                              -0.011354874044943569+0.009655766794928276i
148                                               0.011117626778960506                              -0.008287568585010245+0.007410656660850713i
148.5                                             0.011860221054083454                              -0.00854975476108694+0.00821988667665167i
149                                               0.011736491112778637                              -0.00819070012357342+0.00840581079527884i
149.5                                             0.011509005117131488                              -0.007772587044459309+0.008487878970771325i
150                                               0.011262425883967756                              -0.007355557356897162+0.008528658321287288i
150.5                                             0.011019158780156108                              -0.0069541015771355415+0.00854765064080022i
151                                               0.010787298499667444                              -0.006572295309211934+0.008553989904684147i
151.5                                             0.010570336435271109                              -0.0062108976813608895+0.008553172647999447i
152                                               0.010370128807714096                              -0.005869475881310545+0.008549200217990896i
152.5                                             0.010188170594184757                              -0.005547241677411413+0.008545579549018356i
153                                               0.010026497377243383                              -0.005243515442959443+0.008546121661626067i
153.5                                             0.009889071928367962                              -0.004958244002748583+0.008556258528915716i
154                                               0.009784543134219769                              -0.004692694144556353+0.008585796760409237i
154.5                                             0.009738547947926193                              -0.004451839210463+0.00866143427950831i
155                                               0.009814361355873966                              -0.004317144682094756+0.008813849931643563i
155.5                                             0.011242428034415365                              -0.004570327157985727+0.010271528502515418i
156                                               0.007860253321999404                              -0.0031353658040000412+0.0072078473597260535i
156.5                                             0.008500021419118845                              -0.003180537056867464+0.007882547060143187i
157                                               0.008593131212604167                              -0.003015462521233901+0.008046669486195245i
157.5                                             0.008600908962716132                              -0.0028180497948014195+0.008126144863276211i
158                                               0.008586095217700587                              -0.0026107600160346477+0.008179545416836785i
158.5                                             0.008566782595340532                              -0.0023989743766407268+0.00822403100529483i
159                                               0.008550137486125433                              -0.0021839088814015993+0.00826652242659406i
159.5                                             0.008539380011718452                              -0.0019652127169403513+0.00831017147607151i
160                                               0.00852743737316809                               -0.001738215364166594+0.008348400775063394i
160.5                                             0.008536824437355374                              -0.0015113713827077618+0.008401971674420233i
161                                               0.008535265319644185                              -0.0012714030492391286+0.008440040779706351i
161.5                                             0.008471849187761343                              -0.001013553938614647+0.008411000955516012i
162                                               0.009443577066896325                              -8.6721903482698E-4+0.00940367369510682i
162.5                                             0.008880871968516174                              -5.063765802409368E-4+0.00886642372550285i
163                                               0.009098975933051666                              -2.1016204434158426E-4+0.009096548518277226i
163.5                                             0.009125542765521171                              1.2324045169336497E-4+0.009124710546445964i
164                                               0.009207736493022773                              4.802748049271955E-4+0.009195202414123109i
164.5                                             0.009394560790183729                              8.82035456840324E-4+0.009353062915074078i
