% Model:              biconAndDipole_fullFeature_addCablesV2_1.1.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 5 2022, 16:51
% Table:              Table 10 - tickle Impedance
% freq (MHz)                                      abs(emw.Zport_2) (Ω)                              Lumped port impedance (Ω)
30                                                4685.219329611288                                 0.04444880969118907-4685.219329400445i
35                                                4011.2625833406387                                0.07780975101292692-4011.262582585969i
40                                                3505.1193117533217                                0.07083877103013084-3505.1193110374925i
42                                                3336.3482553421472                                0.0719040039461754-3336.34825456732i
44                                                3182.6616998120717                                0.06930862717436813-3182.6616990574066i
46                                                3042.2879267833014                                0.07088835912137433-3042.2879259574165i
48                                                2913.52671929534                                  0.07328806806180539-2913.526718373581i
50                                                2794.9848490148456                                0.07673610822582234-2794.9848479614534i
50.5                                              2766.796346375612                                 0.07776498297203542-2766.7963452827607i
51                                                2739.1651222814894                                0.07818080620911273-2739.1651211657772i
51.5                                              2712.0558343138973                                0.07979775377698545-2712.055833139939i
52                                                2685.4648528446187                                0.08150814341120988-2685.4648516076677i
52.5                                              2659.369612940194                                 0.08456034855332444-2659.3696115958055i
53                                                2633.762471223684                                 0.0871298993110087-2633.762469782472i
53.5                                              2608.620599897317                                 0.09095290760114634-2608.620598311722i
54                                                2583.8503504701075                                0.11872639327507806-2583.8503477424038i
54.5                                              2559.811804931488                                 0.09290319906474881-2559.811803245621i
55                                                2535.9925754279116                                0.09577746228129316-2535.992573619286i
55.5                                              2512.6215664659057                                0.09947588048735463-2512.621564496757i
56                                                2489.664945092858                                 0.1033373906701126-2489.664942948269i
56.5                                              2467.111155781743                                 0.1076453444228635-2467.1111534333445i
57                                                2444.9478886531883                                0.11255059583828958-2444.9478860626145i
57.5                                              2423.164643077123                                 0.11807550200538124-2423.1646402003425i
58                                                2401.7514186966123                                0.12427149862302363-2401.7514154815826i
58.5                                              2380.6985458092668                                0.1312235194628632-2380.6985421927625i
59                                                2359.9966041164926                                0.1390391227745855-2359.9966000207496i
59.5                                              2339.6322469748156                                0.1489644225270966-2339.632242232532i
60                                                2319.601631350205                                 0.15940051864879087-2319.6016258732893i
60.5                                              2299.8748897802448                                0.17322986512215133-2299.874883256284i
61                                                2280.577337843188                                 0.17972726714260878-2280.5773307612335i
61.5                                              2261.4767235111894                                0.1953703727140027-2261.476715072106i
62                                                2242.698244239114                                 0.21300737030702713-2242.6982341235894i
62.5                                              2224.219569344718                                 0.23180266478190137-2224.2195572657674i
63                                                2206.030328000277                                 0.2532573305139074-2206.0303134630167i
63.5                                              2188.1225810074734                                0.27777912450254055-2188.122563375636i
64                                                2170.4899394325594                                0.30578202899850304-2170.489917893033i
64.5                                              2153.126303808485                                 0.3377474907210456-2153.126277318314i
65                                                2136.0259441902285                                0.3741829747959063-2136.0259114160717i
65.5                                              2119.183545340428                                 0.4155846376236559-2119.1835045911043i
66                                                2102.594230976027                                 0.46238351596706395-2102.5941801344247i
66.5                                              2086.2535931562716                                0.5148612183862711-2086.253529625625i
67                                                2070.157699758094                                 0.5730271204780822-2070.1576204501052i
67.5                                              2054.303061538364                                 0.6364556960410298-2054.302962946323i
68                                                2038.6865162920658                                0.7040970820656851-2038.686394705762i
68.5                                              2023.3049965347495                                0.7740993245019714-2023.3048484528274i
69                                                2008.1551684808167                                0.8437081240925879-2008.1549912426626i
69.5                                              1993.2329768628465                                0.9093235937302604-1993.232769443681i
70                                                1978.533196037072                                 0.9667918470788982-1978.5329598301353i
70.5                                              1964.0491075842228                                1.0119743433113415-1964.0488468748201i
71                                                1949.7724828639164                                1.041508674761405-1949.7722046928973i
71.5                                              1935.6939698114882                                1.0535102593261796-1935.6936831225885i
72                                                1921.803783362438                                 1.0479338809560705-1921.803497650257i
72.5                                              1908.0923773158975                                1.0264547322201751-1908.092101226174i
73                                                1894.5497844899965                                0.9927394280961227-1894.549524393469i
73.5                                              1881.1685102151143                                0.9485527390594857-1881.1682710679165i
74                                                1867.9360546755936                                0.8977698131682766-1867.9358389319439i
74.5                                              1854.8301402930695                                0.8424120181324671-1854.8299489930605i
75                                                1841.7789857698751                                0.7815109602263389-1841.7788199629533i
75.5                                              1828.175606711041                                 0.6961330831345969-1828.175474174187i
