% Model:              biconAndDipole_fullFeature_addCablesV2_1.1.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 5 2022, 16:52
% Table:              Table 8 - s22
% freq (MHz)                                      abs(emw.S22) (1)                                  S22 (1)
30                                                0.9999329477094673                                0.9997051965452072-0.021340569707784952i
35                                                0.9999326694485219                                0.9996219702471368-0.02492508835850421i
40                                                0.9999325797056284                                0.9995256908648176-0.028522925129835758i
42                                                0.9999325117671363                                0.9994834258445913-0.029965138926650484i
44                                                0.9999324750070945                                0.9994389813469143-0.031411417320074894i
46                                                0.9999323949377179                                0.9993923228243594-0.03285999886809989i
48                                                0.9999322991563144                                0.9993434504389863-0.03431138237865837i
50                                                0.999932181999187                                 0.9992923415376617-0.0357656922459587i
50.5                                              0.9999321488979515                                0.9992792087564766-0.036129840114581036i
51                                                0.9999321232165856                                0.99926594804354-0.036494055969078745i
51.5                                              0.9999320807680556                                0.9992525256431324-0.03685859662215071i
52                                                0.9999320359362953                                0.9992389612408794-0.037223310303529454i
52.5                                              0.9999319709791817                                0.9992252327439441-0.037588307146261324i
53                                                0.9999319110668826                                0.9992113683103417-0.03795350061908049i
53.5                                              0.9999318310654922                                0.9991973373871594-0.038319025775703765i
54                                                0.9999313899771138                                0.999182751882224-0.038686082802849124i
54.5                                              0.9999317508436969                                0.999168991299215-0.039049112300414406i
55                                                0.9999316799147953                                0.9991545303407683-0.03941559331969189i
55.5                                              0.9999315940333255                                0.9991399258139398-0.039781922911571975i
56                                                0.9999315030852673                                0.9991251739662385-0.04014844466845326i
56.5                                              0.9999314022396198                                0.9991102693297097-0.04051516882363056i
57                                                0.9999312885372271                                0.999095207484674-0.040882125395773156i
57.5                                              0.99993116101799                                  0.9990799868908128-0.041249322043381026i
58                                                0.9999310181802281                                0.9990646055465341-0.041616764207418715i
58.5                                              0.999930857857118                                 0.9990490607643355-0.041984457609584976i
59                                                0.9999306773580676                                0.9990333492600149-0.04235240947196766i
59.5                                              0.9999304530446499                                0.9990174434924357-0.042720703691732524i
60                                                0.9999302125535316                                0.9990013741493623-0.04308926113356715i
60.5                                              0.9999299007791494                                0.9989850680245836-0.043458489804842355i
61                                                0.9999297208511613                                0.9989688385599707-0.04382586254284799i
61.5                                              0.9999293571250539                                0.9989521832309802-0.04419564298187949i
62                                                0.9999289430293465                                0.9989353451292682-0.04456531565305094i
62.5                                              0.9999284932810931                                0.9989183261347065-0.04493516871708835i
63                                                0.999927975721225                                 0.9989010908887863-0.04530526736638383i
63.5                                              0.9999273789716174                                0.9988836266003134-0.045675636031195815i
64                                                0.9999266909237868                                0.9988659209484454-0.0460462722661491i
64.5                                              0.9999258973912473                                0.9988479596378738-0.04641717140183852i
65                                                0.9999249828890348                                0.998829727278917-0.0467883245004645i
65.5                                              0.9999239314058548                                0.9988112082367085-0.04715971690825894i
66                                                0.9999227276271843                                0.9987923879168666-0.047531327192827016i
66.5                                              0.9999213589749223                                0.9987732548781417-0.04790312593535004i
67                                                0.9999198187298648                                0.9987538040086013-0.04827507500889236i
67.5                                              0.9999181103715654                                0.9987340408745351-0.04864712784393905i
68                                                0.9999162529283243                                0.9987139869773428-0.04901923179774095i
68.5                                              0.9999142864745716                                0.99869368500011-0.049391333620915766i
69                                                0.9999122761219187                                0.9986732023537196-0.049763388549040125i
69.5                                              0.999910312309226                                 0.9986526308473389-0.05013537238340252i
70                                                0.9999085049990213                                0.9986320802020923-0.05050729413282516i
70.5                                              0.9999069700501454                                0.9986116638367943-0.05087920600767599i
71                                                0.999905809292138                                 0.9985914787125446-0.05125120582834283i
71.5                                              0.9999050904494141                                0.998571585573301-0.05162342871482544i
72                                                0.9999048346353531                                0.9985519972344205-0.05199603010137252i
72.5                                              0.9999050161354203                                0.998532679235176-0.05236916833592243i
73                                                0.99990555149082                                  0.9985135379716435-0.05274302218788965i
73.5                                              0.9999064055317699                                0.9984945308172937-0.05311771598456522i
74                                                0.9999074799661978                                0.9984755437659442-0.05349352291309923i
74.5                                              0.999908724089788                                 0.9984564936673619-0.05387101970767938i
75                                                0.9999101709848136                                0.9984372991865091-0.05425227766673335i
75.5                                              0.999912380582665                                 0.9984175211683753-0.05465548706661526i
76                                                0.9999082278219324                                0.998397302880582-0.05494806335783786i
