% Model:              biconAndDipole_fullFeature_addCablesV2_1.1.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 5 2022, 16:52
% Table:              Table 11 - s21
% freq (MHz)                                      abs(emw.S12) (1)                                  S12 (1)
30                                                1.4872251072466412E-4                             -8.038921808055328E-5-1.2512377397059713E-4i
35                                                2.1568504555701527E-4                             -1.3612703961748244E-4-1.6730053186380528E-4i
40                                                3.139602309676177E-4                              -2.262280997571936E-4-2.1769674666721395E-4i
42                                                3.8063406192859076E-4                             -2.87585617314432E-4-2.4935276580406187E-4i
44                                                4.3850606065277026E-4                             -3.4653039242562753E-4-2.687084895468538E-4i
46                                                5.162830791385969E-4                              -4.2546519690673005E-4-2.924509942297139E-4i
48                                                6.121417160157944E-4                              -5.24598776878239E-4-3.154577686230236E-4i
50                                                7.006581768686097E-4                              -6.250442798926689E-4-3.1660942655944237E-4i
50.5                                              7.598804246514312E-4                              -6.807514076765857E-4-3.3763261204271483E-4i
51                                                7.97114897103915E-4                               -7.201619383639662E-4-3.4170007567578927E-4i
51.5                                              8.357755018887153E-4                              -7.613102366695702E-4-3.4485854070829826E-4i
52                                                8.768071090349597E-4                              -8.050837973791209E-4-3.47319428843044E-4i
52.5                                              9.209211211661887E-4                              -8.521863372532332E-4-3.491047951674524E-4i
53                                                9.694496005185645E-4                              -9.039134850891073E-4-3.5038969650899896E-4i
53.5                                              0.0010272067484199694                             -9.649990811734596E-4-3.5203760784027765E-4i
54                                                0.0011639683447153767                             -0.001107000658937945-3.596829834874171E-4i
54.5                                              0.0010631161482744062                             -0.00101237242931408-3.2452736261603157E-4i
55                                                0.001144277171039154                              -0.001096256362269724-3.280125490656123E-4i
55.5                                              0.0012110807940916403                             -0.001167369973029676-3.224345451193649E-4i
56                                                0.0012783596569605528                             -0.0012393930115309193-3.132225654588454E-4i
56.5                                              0.001348717797656134                              -0.0013147515847997213-3.007789354011243E-4i
57                                                0.0014232301810942548                             -0.0013944277548784642-2.848778418940151E-4i
57.5                                              0.0015026140381291134                             -0.0014790468079838043-2.6508392515503374E-4i
58                                                0.0015875027179920894                             -0.0015691298611658704-2.4082433105865233E-4i
58.5                                              0.0016785470360455746                             -0.0016651818311928207-2.1139919886959757E-4i
59                                                0.0017764915098625346                             -0.0017677545773735542-1.7597113055417543E-4i
59.5                                              0.0018823385033531793                             -0.001877598751886961-1.334959479475453E-4i
60                                                0.0019979848740517923                             -0.0019962673948344047-8.282539019416277E-5i
60.5                                              0.002134626132489737                              -0.002134513077301496-2.1969258908515344E-5i
61                                                0.0022172118918433927                             -0.002216706984897187+4.7315076241927556E-5i
61.5                                              0.0023756703054533227                             -0.002372000854204238+1.3198995365954697E-4i
62                                                0.0025321416634957283                             -0.0025215189305147203+2.3169740410029487E-4i
62.5                                              0.0026994462329192922                             -0.0026767604684958296+3.4923252815301155E-4i
63                                                0.0028799963010544332                             -0.002838392819591081+4.877549546452705E-4i
63.5                                              0.0030753311474036576                             -0.0030056752299488193+6.508287626274743E-4i
64                                                0.003286766649628084                              -0.0031769516526461246+8.425041280946216E-4i
64.5                                              0.00351547606886701                               -0.003349539121396104+0.0010673142297438298i
65                                                0.003762426883075558                              -0.003519440027798134+0.0013301871827761417i
65.5                                              0.004028243771309344                              -0.0036809590707905385+0.0016362420970801904i
66                                                0.0043130015494894595                             -0.0038262604098935438+0.001990405396289854i
66.5                                              0.004615942035167166                              -0.003944923927373037+0.0023967678400844093i
67                                                0.00493511471307127                               -0.0040236148348182935+0.0028576005480477292i
67.5                                              0.005266960684354103                              -0.004046062678077+0.00337198037592217i
68                                                0.005605895938627499                              -0.003993637141598365+0.0039340731635248375i
68.5                                              0.005944003136192719                              -0.003846859597009142+0.0045313181883385265i
69                                                0.006270998701209617                              -0.0035881083510940375+0.005143044154134974i
69.5                                              0.006574671962975859                              -0.0032054491567224883+0.005740331621466474i
70                                                0.00684194126882941                               -0.002696908917784414+0.006287991938233215i
70.5                                              0.007060490049199614                              -0.002073804742530366+0.006749063166448016i
71                                                0.007220665787292991                              -0.0013614575008252206+0.007091152789584374i
71.5                                              0.00731709379713221                               -5.962761973599584E-4+0.007292757800207862i
72                                                0.007349452083450052                              1.802790876776854E-4+0.007347240664186414i
72.5                                              0.007322132633875227                              9.28838936479216E-4+0.007262980417028586i
73                                                0.007242743138621009                              0.0016178145398825648+0.00705974534148267i
73.5                                              0.007120932710726487                              0.0022265460831385735+0.0067638875811440536i
74                                                0.006965055506551013                              0.0027444591436269444+0.006401557796216407i
74.5                                              0.006779492276447416                              0.0031679128939520666+0.00599381709954036i
75                                                0.006552757336831426                              0.0034906188208159786+0.005545647749646865i
75.5                                              0.006117854556038201                              0.0036147251260549573+0.004935778219481134i
76                                                0.006741209855763488                              0.004307871233794197+0.005185186183011295i
76.5                                              0.006288695161602692                              0.004313065354888552+0.004576587602136027i
77                                                0.006067655069058839                              0.004404313280090583+0.00417354316712948i
77.5                                              0.005890416112812629                              0.004483905930300129+0.003819893923959405i
78                                                0.0056300061744158315                             0.004436955177516616+0.0034656021521041447i
78.5                                              0.005550025324643119                              0.004541383924544158+0.003190393886978825i
79                                                0.005414344332179314                              0.004561434455722229+0.0029169230798141254i
79.5                                              0.005285989163307022                              0.0045658623983322825+0.002663565654173865i
80                                                0.005166237941884841                              0.004559597326760583+0.00242900940508024i
80.5                                              0.005054838512579213                              0.004545373395521598+0.0022115544495984025i
81                                                0.004951298226536939                              0.004525155368098184+0.0020095579172245887i
81.5                                              0.004855070818911245                              0.004500432569995218+0.0018214882210900352i
82                                                0.004765601558260965                              0.004472341352550673+0.0016459407760805226i
82.5                                              0.004682338239127861                              0.004441738028973513+0.0014816391826519351i
83                                                0.004604729047360523                              0.004409246979814154+0.001327430100082678i
83.5                                              0.004532211018596967                              0.004375290016741479+0.0011822749200139987i
