% Model:              biconAndDipole_fullFeature_addCablesV2_1.1.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 5 2022, 16:48
% Table:              Table 1 - Global Evaluation 1 (emw.Vport_1)
% freq (MHz)                                      abs(emw.Vport_1) (V)                              Lumped port voltage (V)
62                                                0.001519284998097437                              -0.001512911358308832+1.3901844246017693E-4i
62.5                                              0.0016196677397515753                             -0.0016060562810974977+2.0953951689180693E-4i
63                                                0.0017279977806326599                             -0.0017030356917546487+2.926529727871623E-4i
63.5                                              0.0018451986884421947                             -0.0018034051379692917+3.904972575764846E-4i
64                                                0.0019720599897768503                             -0.0019061709915876746+5.055024768567729E-4i
64.5                                              0.0021092856413202064                             -0.0020097234728376624+6.403885378462979E-4i
65                                                0.0022574561298453347                             -0.00211166401667888+7.981123096656849E-4i
65.5                                              0.0024169462627856063                             -0.002208575442474323+9.81745258248114E-4i
66                                                0.0025878009296936757                             -0.002295756245936126+0.0011942432377739125i
66.5                                              0.0027695652211002994                             -0.0023669543564238224+0.0014380607040506456i
67                                                0.0029610688278427616                             -0.002414168900890976+0.0017145603288286375i
67.5                                              0.0031601764106124622                             -0.0024276376068462003+0.0020231882255533017i
68                                                0.003363537563176499                              -0.0023961822849590192+0.002360443898114902i
68.5                                              0.003566401881715632                              -0.0023081157582054853+0.002718790913003116i
69                                                0.0037625992207257703                             -0.0021528650106564227+0.0030858264924809842i
69.5                                              0.003944803177785516                              -0.0019232694940334932+0.0034441989728798846i
70                                                0.004105164761297646                              -0.0016181453506706484+0.0037727951629399287i
70.5                                              0.004236294029519768                              -0.0012442828455182197+0.00404943789986881i
71                                                0.0043323994723757945                             -8.168745004951323E-4+0.004254691673750624i
71.5                                              0.004390256278279326                              -3.5776571841597505E-4+0.0043756546801247175i
72                                                0.004409671250070031                              1.0816745260661124E-4+0.004408344398511848i
72.5                                              0.004393279580325136                              5.573033618875296E-4+0.004357788250217151i
73                                                0.004345645883172605                              9.706887239295389E-4+0.004235847204889602i
73.5                                              0.004272559626435892                              0.0013359276498831443+0.004058332548686432i
74                                                0.004179033303930608                              0.0016466754861761666+0.003840934677729844i
74.5                                              0.004067695365868449                              0.0019007477363712397+0.0035962902597242155i
75                                                0.003931654402098855                              0.002094371292489587+0.0033273886497881193i
75.5                                              0.0036707127336229207                             0.0021688350756329743+0.00296146693168868i
76                                                0.004044725913458093                              0.0025847227402765183+0.003111111709806777i
76.5                                              0.0037732170969616147                             0.0025878392129331314+0.0027459525612816157i
77                                                0.003640593041435304                              0.00264258796805435+0.0025041259002776877i
77.5                                              0.0035342496676875777                             0.0026903435581800772+0.002291936354375643i
78                                                0.003378003704649499                              0.0026621731065099696+0.002079361291262487i
78.5                                              0.0033300151947858714                             0.002724830354726495+0.001914236332187295i
79                                                0.003248606599307589                              0.0027368606734333376+0.0017501538478884753i
79.5                                              0.0031715934979842132                             0.0027395174389993693+0.001598139392504319i
80                                                0.0030997427651309043                             0.0027357583960563496+0.001457405643048144i
80.5                                              0.003032903107547528                              0.002727224037312959+0.0013269326697590415i
81                                                0.0029707789359221634                             0.00271509322085891+0.0012057347503347533i
81.5                                              0.002913042491346747                              0.0027002595419971308+0.0010928929326540211i
82                                                0.002859360934956579                              0.002683404811530404+9.875644656483135E-4i
82.5                                              0.0028094029434767164                             0.0026650428173841073+8.889835095911611E-4i
83                                                0.0027628374284163135                             0.0026455481878884923+7.964580600496067E-4i
83.5                                              0.0027193266111581807                             0.0026251740100448877+7.093649520083992E-4i
84                                                0.0026785122021353936                             0.00260405801980815+6.271438801910225E-4i
84.5                                              0.0026399902756884387                             0.0025822138070314324+5.492909160961569E-4i
85                                                0.0026032645457449532                             0.002559497429560132+4.7535166267486127E-4i
85.5                                              0.002567653654070329                              0.002535525609886331+4.0491377955222E-4i
86                                                0.0025320892892475386                             0.002509482792452102+3.3759781265420736E-4i
86.5                                              0.0024946203238709118                             0.002479633228286341+2.7303775095776056E-4i
87                                                0.002450937957901175                              0.0024418497717636576+2.1087096912224333E-4i
87.5                                              0.002388722271985803                              0.002383969376304918+1.506124348165079E-4i
88                                                0.0022511307177705106                             0.002249283521493926+9.11764685972037E-5i
88.5                                              1.7691621223139793E-4                             -1.6357760314693288E-4+6.739223916008114E-5i
89                                                0.002799576122811507                              0.002799569026509173-6.3034297641878885E-6i
89.5                                              0.0026318182324767767                             0.0026310424847024454-6.389563747210312E-5i
90                                                0.00260919002318119                               0.002606468043672713-1.1915080520584019E-4i
90.5                                              0.0019475997775093503                             0.001941849260463686-1.495538130276384E-4i
91                                                0.002414489472902217                              0.00240537600907338-2.095845169134555E-4i
91.5                                              0.002425930339510089                              0.0024120120621705784-2.59491472112612E-4i
92                                                0.0024237953059329386                             0.0024041989256136445-3.0758935472597883E-4i
92.5                                              0.0024202304704121695                             0.0023940804451521177-3.548159410902346E-4i
93                                                0.0024177169226769087                             0.0023841368864647764-4.0155500843140054E-4i
93.5                                              0.0024172944924794205                             0.002375388288799225-4.481552641739558E-4i
