% Model:              biconAndDipole_fullFeature_addCablesV1_1.1.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 2 2022, 12:52
% Table:              Table 10 - tickle Impedance
% freq (MHz)                                      abs(emw.Zport_2) (Ω)                              Lumped port impedance (Ω)
93                                                1466.2694558914773                                8.932218793194407-1466.2422489983433i
93.5                                              1457.7941940299017                                8.83014742159051-1457.7674508109324i
94                                                1449.404575259256                                 8.730061070685034-1449.378283546489i
94.5                                              1441.0956353008094                                8.63203216616256-1441.0697825239852i
95                                                1432.8627221604156                                8.536510966524572-1432.8372931137278i
95.5                                              1424.6861300305552                                8.449726520962539-1424.6610724039458i
96                                                1416.6986700920618                                8.332755862293864-1416.6741640265611i
96.5                                              1408.6336001918912                                8.245254564418156-1408.6094687196792i
97                                                1400.6637381170933                                8.155195496714775-1400.6399965953278i
97.5                                              1392.7453552984484                                8.064232475946191-1392.7220084639919i
98                                                1384.8532199984038                                8.003698577654164-1384.8300912924392i
98.5                                              1376.8968358016534                                7.886544242061664-1376.874249472523i
99                                                1369.5902232559763                                7.884809411766428-1369.5675264180643i
99.5                                              1361.5524038254243                                7.741681734060066-1361.5303943455394i
100                                               1353.611972884585                                 7.650976228912393-1353.5903500318118i
100.5                                             1345.5190414408837                                7.565004168985356-1345.497774651418i
101                                               1337.0287220114067                                7.480302427396101-1337.007796745797i
101.5                                             1327.4880326813138                                7.395567646774251-1327.4674318006025i
102                                               1314.0561028251934                                7.314951547137361-1314.0357426097657i
102.5                                             1231.8160751742137                                8.604880787312299-1231.7860200068192i
103                                               1333.613475925943                                 7.391185059636809-1333.592993965809i
103.5                                             1315.7177905217532                                7.186536831962622-1315.6981637076974i
104                                               1305.6510352259345                                7.086321476967509-1305.6318048494682i
104.5                                             1297.3046408815921                                7.003262608556791-1297.2857378256158i
105                                               1289.6401248781162                                6.926593454393271-1289.6215235481923i
105.5                                             1282.331032981788                                 6.853597922302262-1282.3127178436853i
106                                               1275.2547446965164                                6.77835359978088-1275.2367300989465i
106.5                                             1268.3100579176353                                6.711338545188454-1268.2923010686327i
107                                               1261.484345575058                                 6.643244774012692-1261.4668530840613i
107.5                                             1254.7448547673782                                6.5760285103876885-1254.727622400272i
108                                               1248.0698670167849                                6.509497073826472-1248.0528912682912i
108.5                                             1241.4300181143851                                6.443462297388678-1241.4132960739162i
109                                               1234.2903182286225                                6.817718088368639-1234.2714889330393i
109.5                                             1228.39070801821                                  6.327891029118299-1228.3744092664106i
110                                               1221.784459530292                                 6.259277867697838-1221.7684260899455i
110.5                                             1215.1390554886198                                6.1945087025475525-1215.123266272072i
111                                               1208.3494315181788                                6.130124397375323-1208.3338819321332i
111.5                                             1201.1759706017472                                6.0653773144608225-1201.1606568436557i
112                                               1192.129523223016                                 6.013510411586481-1192.1143560214618i
112.5                                             1189.397088171632                                 5.936881607057298-1189.3822710919903i
113                                               1176.5410630561182                                5.817986991642018-1176.526678016519i
113.5                                             1139.684946523555                                 5.714194617171538-1139.6706214131675i
114                                               1206.7602305321782                                6.407502287029121-1206.7432195411407i
