% Model:              biconAndDipole_fullFeature_addCablesV1_1.1.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 2 2022, 12:50
% Table:              Table 1 - Global Evaluation 1 (emw.Vport_1)
% freq (MHz)                                      abs(emw.Vport_1) (V)                              Lumped port voltage (V)
30                                                4.920936549855986E-5                              -2.6600913078180067E-5-4.139991637887644E-5i
35                                                7.412912768649054E-5                              -4.678897947571075E-5-5.749712141648081E-5i
40                                                1.1265881309133015E-4                             -8.118525870543207E-5-7.810865468102321E-5i
42                                                1.3375290899645537E-4                             -1.0108577818105058E-4-8.758713441222694E-5i
44                                                1.593209968677434E-4                              -1.25916733353068E-4-9.761227537878561E-5i
46                                                1.9055537297439613E-4                             -1.5704936944869354E-4-1.0792055283947993E-4i
48                                                2.291528721960556E-4                              -1.9639848963548182E-4-1.1806215356583725E-4i
50                                                2.6560661650713597E-4                             -2.3696072095299154E-4-1.199853801836177E-4i
50.5                                              2.892875097691398E-4                              -2.5918542540706276E-4-1.2849193968879948E-4i
51                                                3.0455842684540594E-4                             -2.751802176054351E-4-1.3050549107671233E-4i
51.5                                              3.2049283406326243E-4                             -2.919627870742702E-4-1.3218694205452465E-4i
52                                                3.3751053476222605E-4                             -3.0992927275156533E-4-1.3363086083375216E-4i
52.5                                              3.5597774493747195E-4                             -3.294377224085226E-4-1.348738000690017E-4i
53                                                3.7665766591728894E-4                             -3.5123595609804197E-4-1.36030512893815E-4i
53.5                                              4.023945782595532E-4                              -3.781037988526233E-4-1.376913719370196E-4i
54                                                4.7624272407253396E-4                             -4.5406971311619146E-4-1.4362391117988437E-4i
54.5                                              4.0533469484275894E-4                             -3.861594610025219E-4-1.2319531452743764E-4i
55                                                4.430515262876085E-4                              -4.245108067975785E-4-1.2682755953596382E-4i
55.5                                              4.7185413308432667E-4                             -4.548594991837719E-4-1.2549565295678442E-4i
56                                                5.002874415768435E-4                              -4.8506872988067723E-4-1.2245754975276216E-4i
56.5                                              5.298222364759362E-4                              -5.165076583776068E-4-1.1803152588035225E-4i
57                                                5.610225766296694E-4                              -5.496954277117313E-4-1.1216625268328288E-4i
57.5                                              5.942348318403125E-4                              -5.849391530004306E-4-1.0469585789047825E-4i
58                                                6.297416492213222E-4                              -6.224753761683078E-4-9.538842082828761E-5i
58.5                                              6.678122705102746E-4                              -6.625139863034889E-4-8.395502722498995E-5i
59                                                7.087233889052393E-4                              -7.052532783003167E-4-7.004752263986932E-5i
59.5                                              7.527698558916184E-4                              -7.50883989020848E-4-5.325120628893673E-5i
60                                                8.002712781667737E-4                              -7.995875178232227E-4-3.307446144654806E-5i
60.5                                              8.515763635800002E-4                              -8.515294681992947E-4-8.936878446251335E-6i
61                                                9.070669397169443E-4                              -9.068497877993268E-4+1.984680064339385E-5i
61.5                                              9.671683053874744E-4                              -9.65654035500824E-4+5.410004313355327E-5i
62                                                0.0010323988012047214                             -0.0010280353294952675+9.481901728294102E-5i
62.5                                              0.001102909002859304                              -0.0010935936623175982+1.4304254726090108E-4i
63                                                0.0011797055257304074                             -0.0011626007936359976+2.0016124019351368E-4i
63.5                                              0.0012630687119275905                             -0.0012343781301174276+2.676811591020653E-4i
64                                                0.0013535680465672738                             -0.0013082396698644635+3.4735489471269187E-4i
64.5                                              0.0014517255077282046                             -0.0013830731944114475+4.4115245515493636E-4i
65                                                0.0015579921856777297                             -0.0014572188837060067+5.512284241614261E-4i
65.5                                              0.001672687031404111                              -0.0015282994787935514+6.798401342572066E-4i
66                                                0.0017959068554047883                             -0.0015930242244244063+8.29189516146299E-4i
66.5                                              0.0019274042779654117                             -0.0016469903398811667+0.001001154369244568i
67                                                0.002066432415808488                              -0.0016845291129053447+0.0011968728407305584i
67.5                                              0.0022115635634129705                             -0.0016986793012787528+0.0014161574864481016i
68                                                0.0023605048354708416                             -0.0016814109450365704+0.001656755960361227i
68.5                                              0.002509956883150605                              -0.0016242473698948481+0.0019135579522619032i
69                                                0.002655587314020956                              -0.001519401953877807+0.0021779719201452845i
69.5                                              0.002792204043782337                              -0.001361409101595978+0.0024378204774359548i
70                                                0.0029141926344239916                             -0.0011489678187924445+0.0026781321218174387i
70.5                                              0.003016207098198616                              -8.864139109814858E-4+0.0028830150255665025i
71                                                0.0030939865831228945                             -5.841042629731813E-4+0.003038350734612619i
71.5                                              0.0031450683110302957                             -2.572561167417374E-4+0.003134529306203073i
72                                                0.0031691588433723915                             7.657717816780142E-5+0.0031682335315297216i
72.5                                              0.0031680430048172795                             4.005594348316797E-4+0.0031426181154475363i
73                                                0.003145092166929495                              7.011098332189336E-4+0.0030659500550799883i
73.5                                              0.0031045701673344654                             9.692396312901572E-4+0.0029493949313443377i
74                                                0.0030509577881372312                             0.0012006170353320471+0.0028047927123881567i
74.5                                              0.002988444317577598                              0.0013947520557536144+0.00264300324294786i
75                                                0.0029206348514498968                             0.0015538233119753036+0.002473002436445597i
75.5                                              0.0028504501240363064                             0.001681551641682003+0.0023016189923562836i
76                                                0.002780171735919788                              0.0017823352193336935+0.0021336907102787795i
76.5                                              0.0027116157741948763                             0.0018607282590274417+0.00197244783274975i
77                                                0.002646595065769328                              0.001921399677031067+0.0018200793178483915i
77.5                                              0.0025895969319177712                             0.001971224501608995+0.0016793707851616047i
78                                                0.002052820704095838                              0.001611720448933053+0.0012713890190085687i
78.5                                              0.0024424334898401887                             0.0019985349477224875+0.0014040439505317481i
79                                                0.002395379807830785                              0.0020180599627537565+0.001290456667421946i
79.5                                              0.0023473956254835273                             0.0020276210272711067+0.0011828014171057046i
80                                                0.002301704140418813                              0.002031447253438978+0.0010821571080560993i
80.5                                              0.0022588221374952983                             0.0020311810663471972+9.882210909262618E-4i
81                                                0.002218782121604369                              0.002027841162293348+9.004744991724913E-4i
81.5                                              0.002181465000995958                              0.002022145449399997+8.183625920343493E-4i
82                                                0.002146685679342137                              0.002014613132669636+7.413456222084593E-4i
82.5                                              0.0021142187478786715                             0.0020056100855593137+6.689163614267634E-4i
83                                                0.00208380106074083                               0.0019953695977531698+6.006055520114363E-4i
83.5                                              0.0020551180874949235                             0.0019839944523085294+5.359816850954611E-4i
84                                                0.0020277689649760467                             0.0019714352730640086+4.7464717363433767E-4i
84.5                                              0.002001190332422219                              0.0019574255382279237+4.1623071591759676E-4i
85                                                0.001974481099161807                              0.0019413158707213515+3.603724476602207E-4i
85.5                                              0.0019459389312505                                0.001921619173841203+3.0668888940128044E-4i
86                                                0.0019115198744640532                             0.0018944808338228927+2.5465781108928627E-4i
86.5                                              0.0018570684939242777                             0.0018459309931418567+2.0308165767617627E-4i
87                                                0.0016437767860491925                             0.0016375805020174953+1.425910998847423E-4i
87.5                                              0.002077611092677206                              0.002073387986290161+1.3240132447602115E-4i
88                                                0.0018891263587129613                             0.001887577299374356+7.648750270929813E-5i
88.5                                              0.001541865052612522                              0.0015415922227047384+2.900447144975646E-5i
89                                                0.002281257500675788                              0.0022812553009485706-3.1680094048061566E-6i
89.5                                              0.0020688409933357368                             0.002068241326096755-4.980836006068339E-5i
90                                                0.0020152452094629333                             0.002013168851628685-9.145725283072401E-5i
90.5                                              0.0019894336827103423                             0.0019850645108541697-1.3177733359622914E-4i
91                                                0.00197435015460684                               0.0019669063804892517-1.7128287534580114E-4i
91.5                                              0.0019650246270377946                             0.001953749622427405-2.1020037518947306E-4i
92                                                0.0019594938600850684                             0.0019436484832703173-2.4869009065919026E-4i
92.5                                              0.001956832499767086                              0.001935686933985768-2.8689636759896366E-4i
93                                                0.0019566326417180457                             0.0019294563319548644-3.249762417713295E-4i
93.5                                              0.00195882559481317                               0.0019248716179310257-3.631349134671091E-4i
94                                                0.00196375843035539                               0.001922232043979536-4.017102710786981E-4i
94.5                                              0.0019727258687503137                             0.0019226985536564512-4.4144945917292815E-4i
95                                                0.00199065556439906                               0.0019307062042026764-4.8485371930741424E-4i
95.5                                              0.002054378744405004                              0.0019787985139258896-5.521127301084184E-4i
96                                                0.0017962048762652403                             0.001727037580974723-4.936528653011188E-4i
96.5                                              0.001921372676920136                              0.0018374377815521747-5.616897386813044E-4i
97                                                0.0019428117710439665                             0.001846219397172544-6.049723259875956E-4i
97.5                                              0.001943981387885502                              0.0018345788600681303-6.429494868466432E-4i
98                                                0.0020279543505531726                             0.0019677720918972606-4.903792841034568E-4i
98.5                                              0.0018381156033325647                             0.0017174873491400849-6.549092889541284E-4i
