% Model:              biconAndDipole_fullFeature_addCablesV1_1.1.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 2 2022, 12:52
% Table:              Table 11 - s21
% freq (MHz)                                      abs(emw.S12) (1)                                  S12 (1)
30                                                8.201560916426644E-5                              -4.433485513030011E-5-6.899986063146075E-5i
35                                                1.2354854614415092E-4                             -7.798163245951793E-5-9.582853569413469E-5i
40                                                1.8776468848555027E-4                             -1.3530876450905345E-4-1.301810911350387E-4i
42                                                2.2292151499409227E-4                             -1.6847629696841763E-4-1.4597855735371155E-4i
44                                                2.6553499477957235E-4                             -2.0986122225511334E-4-1.6268712563130935E-4i
46                                                3.1759228829066023E-4                             -2.617489490811559E-4-1.798675880657999E-4i
48                                                3.819214536600927E-4                              -3.2733081605913636E-4-1.967702559430621E-4i
50                                                4.4267769417856E-4                                -3.949345349216526E-4-1.9997563363936282E-4i
50.5                                              4.821458496152331E-4                              -4.319757090117713E-4-2.1415323281466581E-4i
51                                                5.075973780756766E-4                              -4.5863369600905856E-4-2.1750915179452056E-4i
51.5                                              5.341547234387708E-4                              -4.866046451237836E-4-2.2031157009087444E-4i
52                                                5.625175579370435E-4                              -5.165487879192755E-4-2.2271810138958694E-4i
52.5                                              5.932962415624533E-4                              -5.49062870680871E-4-2.2478966678166952E-4i
53                                                6.277627765288149E-4                              -5.853932601634033E-4-2.2671752148969166E-4i
53.5                                              6.706576304325887E-4                              -6.301729980877055E-4-2.2948561989503266E-4i
54                                                7.937378734542233E-4                              -7.567828551936524E-4-2.3937318529980726E-4i
54.5                                              6.755578247379316E-4                              -6.435991016708699E-4-2.0532552421239606E-4i
55                                                7.384192104793475E-4                              -7.075180113292975E-4-2.1137926589327304E-4i
55.5                                              7.864235551405444E-4                              -7.580991653062865E-4-2.0915942159464073E-4i
56                                                8.338124026280727E-4                              -8.084478831344622E-4-2.040959162546036E-4i
56.5                                              8.83037060793227E-4                               -8.608460972960114E-4-1.967192098005871E-4i
57                                                9.350376277161157E-4                              -9.161590461862189E-4-1.8694375447213813E-4i
57.5                                              9.903913864005207E-4                              -9.74898588334051E-4-1.744930964841304E-4i
58                                                0.0010495694153688704                             -0.001037458960280513-1.5898070138047936E-4i
58.5                                              0.0011130204508504576                             -0.0011041899771724814-1.3992504537498326E-4i
59                                                0.0011812056481753988                             -0.0011754221305005279-1.1674587106644886E-4i
59.5                                              0.0012546164264860306                             -0.0012514733150347467-8.875201048156121E-5i
60                                                0.0013337854636112896                             -0.0013326458630387047-5.5124102410913445E-5i
60.5                                              0.0014192939393000005                             -0.001419215780332158-1.4894797410418893E-5i
61                                                0.0015117782328615739                             -0.0015114163129988781+3.307800107232309E-5i
61.5                                              0.001611947175645791                              -0.0016094233925013737+9.016673855592213E-5i
62                                                0.0017206646686745357                             -0.0017133922158254458+1.5803169547156835E-4i
62.5                                              0.0018381816714321732                             -0.0018226561038626637+2.3840424543483514E-4i
63                                                0.0019661758762173458                             -0.0019376679893933293+3.3360206698918943E-4i
63.5                                              0.0021051145198793175                             -0.002057296883529046+4.4613526517010886E-4i
64                                                0.00225594674427879                               -0.002180399449774106+5.789248245211532E-4i
64.5                                              0.0024195425128803413                             -0.002305121990685746+7.35254091924894E-4i
65                                                0.002596653642796216                              -0.002428698139510011+9.187140402690435E-4i
65.5                                              0.0027878117190068517                             -0.0025471657979892525+0.0011330668904286777i
66                                                0.002993178092341314                              -0.0026550403740406773+0.0013819825269104984i
66.5                                              0.003212340463275686                              -0.0027449838998019446+0.0016685906154076135i
67                                                0.00344405402634748                               -0.0028075485215089077+0.001994788067884264i
67.5                                              0.003685939272354951                              -0.0028311321687979215+0.0023602624774135025i
68                                                0.003934174725784736                              -0.002802351575060951+0.002761259933935378i
68.5                                              0.004183261471917676                              -0.002707078949824747+0.003189263253769839i
69                                                0.004425978856701594                              -0.0025323365897963446+0.0036299532002421414i
69.5                                              0.004653673406303895                              -0.00226901516932663+0.004063034129059924i
70                                                0.004856987724039985                              -0.0019149463646540744+0.0044635535363623975i
70.5                                              0.005027011830331027                              -0.0014773565183024764+0.004805025042610838i
71                                                0.005156644305204824                              -9.735071049553021E-4+0.0050639178910210315i
