% Model:              biconAndDipole_fullFeature_addCablesV1_1.1.22.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 2 2022, 12:52
% Table:              Table 8 - s22
% freq (MHz)                                      abs(emw.S22) (1)                                  S22 (1)
109                                               0.9995623619306185                                0.9962873261297082-0.08084849523419338i
109.5                                             0.9995904629605034                                0.9962838396124744-0.08123795029799115i
110                                               0.9995905193563811                                0.9962480999726608-0.081675759488498i
110.5                                             0.999590314972395                                 0.9962112990714959-0.08212091931350056i
111                                               0.9995900052347121                                0.9961729750711088-0.08258076230641032i
111.5                                             0.9995894727418351                                0.9961315793047723-0.08307220189738541i
112                                               0.9995867347913683                                0.9960762638733869-0.08370016080572465i
112.5                                             0.9995902009073168                                0.996063596451812-0.08389208290066287i
113                                               0.9995895858181032                                0.9959856303603056-0.08480544906898273i
113.5                                             0.9995700478175679                                0.995729760354767-0.08753584887263735i
114                                               0.99956989649787                                  0.996143953254932-0.08268737738251392i
114.5                                             0.9995839414203407                                0.9960127018179785-0.08442010283501077i
115                                               0.999568862177377                                 0.9959635559191183-0.08482043100292148i
115.5                                             0.9995849575902725                                0.9959088541989631-0.08564835998929227i
116                                               0.9995851426657033                                0.9958653721266773-0.08615461703825929i
116.5                                             0.9995850330016975                                0.9958241775262661-0.08662820357793696i
117                                               0.9995848539565543                                0.9957838445931557-0.08708854750551197i
117.5                                             0.9995846643879528                                0.9957418140721661-0.08756563816844991i
118                                               0.9995832240863431                                0.9957075454810934-0.08793807904920847i
118.5                                             0.9995834521475353                                0.9956676385019978-0.08839135391563434i
119                                               0.9995832999796126                                0.9956284327587445-0.08883016087173584i
119.5                                             0.9995831652522279                                0.9955893514151861-0.08926560146188356i
120                                               0.9995831758980296                                0.9955503606012656-0.08969952644847877i
120.5                                             0.9995834398503798                                0.995511490212632-0.09013282464087354i
121                                               0.9995841217880947                                0.9954728534130625-0.0905660789066869i
121.5                                             0.9995855114490806                                0.9954346893551993-0.09099985674295277i
122                                               0.9995884133648256                                0.9953977064677082-0.09143523441231834i
122.5                                             0.9995811858332515                                0.9953507326792235-0.09186656642512686i
123                                               0.9995919410628907                                0.995320637538437-0.09230859725917667i
123.5                                             0.9995960805059908                                0.995283507876819-0.09275269867423507i
124                                               0.9995972101207464                                0.9952427688621589-0.09320093083635511i
124.5                                             0.9995939729480262                                0.9951972401170294-0.09365128945971378i
125                                               0.9995874892313334                                0.995148235604577-0.0941017417527354i
125.5                                             0.9995799984102978                                0.9950979750661125-0.09455259510586307i
126                                               0.9995728006922907                                0.995047581710202-0.0950057578071393i
126.5                                             0.9995661632511006                                0.9949970958655964-0.09546357386749758i
127                                               0.9995598941471574                                0.9949460502357633-0.09592882313324995i
127.5                                             0.9995536683786798                                0.9948937117501402-0.09640559262462327i
128                                               0.9995471240099763                                0.9948389468703861-0.09690161457084157i
128.5                                             0.9995395462678417                                0.9947795944559988-0.09743132456905951i
129                                               0.9995298150472568                                0.9947100995579131-0.09803911977312867i
129.5                                             0.9995126500572119                                0.9946082241838208-0.09889397357926857i
130                                               0.9993926031834195                                0.994157813883594-0.10215584365039959i
130.5                                             0.9995492632996235                                0.9948434018983607-0.09687794105015188i
131                                               0.9995302068871669                                0.9946644631165732-0.0985050267393586i
131.5                                             0.9995198054374881                                0.9945798113727521-0.09925139934295563i
132                                               0.9994720842082487                                0.994473925038044-0.09983015341572625i
132.5                                             0.9994831442017124                                0.9944309012954741-0.10036801329114795i
133                                               0.9994737599101546                                0.9943701315332739-0.10087536004119599i
133.5                                             0.9994608277168555                                0.9943062473795399-0.10137570005913213i
134                                               0.9994449872614816                                0.9942382654903608-0.10188500378771098i
134.5                                             0.9994400743901359                                0.9941905806578611-0.10230127872194632i
135                                               0.9994234001829491                                0.9941199182225258-0.1028237376605514i
135.5                                             0.9994105488021303                                0.9940547105953413-0.10332800878845713i
136                                               0.9994003346450625                                0.993990693018017-0.10384378210670613i
136.5                                             0.9993939497186366                                0.9939273353584201-0.10438734962402045i
137                                               0.9993932863358126                                0.9938629988005198-0.10499181105368943i
137.5                                             0.9994024567809421                                0.9937909081448988-0.10575869471736134i
138                                               0.9994590737914634                                0.9936733236445816-0.10738606083296148i
138.5                                             0.9396254924918606                                0.931324436194191-0.1246228738560609i
139                                               0.9994442426473908                                0.9939234482810386-0.10490459054848952i
139.5                                             0.9995340126436596                                0.9938632573036014-0.10632059167165518i
140                                               0.9982863250840126                                0.9923416530862162-0.10878249123759941i
140.5                                             0.9991985703260979                                0.9934549571831119-0.10698145161671403i
141                                               0.9993565074543042                                0.9935251907299429-0.10780131899144484i
141.5                                             0.9994429961460769                                0.9935261891809564-0.10859103994811702i
142                                               0.9980559275295339                                0.9923454789870064-0.10661184179483499i
142.5                                             0.9993769189462279                                0.9933750025972338-0.10936329520182402i
143                                               0.9994331515303735                                0.9933452372004463-0.11014474163174327i
143.5                                             0.9994667716919038                                0.9932916495243337-0.11093027856029349i
144                                               0.9994964951339044                                0.9932189308974179-0.11184542499337746i
144.5                                             0.9995301538997543                                0.9931083113928661-0.11312121992480656i
145                                               0.9995701830967361                                0.9928265226410474-0.11591396325088778i
145.5                                             0.9891793910008662                                0.986393957407057-0.0741810512980863i
146                                               0.9992513584072777                                0.9931888158395893-0.10990565667855438i
146.5                                             0.9993734918222446                                0.9930027347629898-0.11266297044818692i
147                                               0.9993759104003284                                0.992696146749101-0.11535410923747944i
147.5                                             0.9993211481364395                                0.9912521385476619-0.12673576818490723i
148                                               0.999499244940408                                 0.9938125989132028-0.1064671727709113i
148.5                                             0.9995158401380203                                0.9933325858509316-0.11100580423344532i
149                                               0.9995224728367036                                0.9931569629172379-0.11262513358308186i
149.5                                             0.999528813464491                                 0.9930434754815045-0.11367719537949478i
150                                               0.9995359873517958                                0.9929529847335457-0.11452755179463368i
150.5                                             0.999550467903628                                 0.9928777910992008-0.11530320823087852i
151                                               0.9994147894163016                                0.9926757900398914-0.11586499545897294i
151.5                                             0.9995155858407186                                0.9926899867241815-0.11661044805702162i
152                                               0.9995268542799085                                0.9926200260763575-0.1173005381865777i
152.5                                             0.9995320436088618                                0.9925423093293537-0.11800029827106875i
153                                               0.9995352164430595                                0.9924576394581575-0.1187370320962074i
153.5                                             0.9995371456692237                                0.9923621019116086-0.11954900360167435i
154                                               0.9995377500343694                                0.9922463141675908-0.12051126820592467i
154.5                                             0.9995357694349274                                0.9920852845451464-0.12181355658894548i
155                                               0.9994951557701439                                0.9917448555013945-0.12422845082549497i
155.5                                             0.9994166447302623                                0.9904658681618952-0.13345783517725177i
156                                               0.9994552344861269                                0.9937684542959675-0.10646607435198599i
156.5                                             0.999546905432319                                 0.9927189048842806-0.1166327228726144i
157                                               0.9995458946540329                                0.9924223872780126-0.11912095008495156i
157.5                                             0.9995565454834929                                0.9923282266774633-0.1199915753628352i
158                                               0.999556646601995                                 0.9921960532079717-0.12108047639792813i
158.5                                             0.9995572906300919                                0.9920957488220342-0.12190489088226661i
159                                               0.9995587007494197                                0.9920077259011222-0.12263061606447195i
159.5                                             0.9995743811273454                                0.991934816941959-0.12334610794199392i
160                                               0.9995526068637562                                0.9918412475546214-0.12392075507122682i
160.5                                             0.9995544682771851                                0.9917652700399963-0.12454229882003738i
161                                               0.9995547028865228                                0.9916884049698281-0.12515475025328865i
161.5                                             0.9995533045435591                                0.9916063254943358-0.12579230446879616i
162                                               0.9995609136123809                                0.991556325510928-0.12624608255658523i
162.5                                             0.9994471574912179                                0.9915317430302631-0.12553654121666563i
163                                               0.9995528007421934                                0.9914136901441697-0.1272976687386044i
163.5                                             0.9995572183837265                                0.991333950854248-0.1279516733252056i
164                                               0.9995328960989418                                0.9912541195156735-0.12837944121682754i
164.5                                             0.9995440332156443                                0.9911799586221482-0.1290370642985712i
165                                               0.999543910181454                                 0.9911025944712718-0.12962899217823365i
165.5                                             0.9995423968765546                                0.9910240405479095-0.1302165665720882i
166                                               0.999540143581315                                 0.9909440099945307-0.1308069863826671i
166.5                                             0.9995372171450836                                0.9908620250075587-0.1314043220600377i
167                                               0.9995332114605631                                0.9907768032233908-0.13201502568686993i
167.5                                             0.9995228995008467                                0.9906774365566363-0.13268098328001451i
168                                               0.9995389257775291                                0.9906317361877315-0.1331421323329981i
168.5                                             0.9995331313584693                                0.9905335328567343-0.13382750453335057i
169                                               0.9995277272980486                                0.9904371094375284-0.13449910738230028i
169.5                                             0.9995346061658175                                0.9903505167191929-0.13518610489648436i
170                                               0.9995424287416094                                0.9902588527887439-0.1359134700027774i
170.5                                             0.9995535122361008                                0.9901618346440355-0.1366995429322372i
171                                               0.9995650598674989                                0.9900544717194848-0.1375589035147072i
171.5                                             0.99957582693039                                  0.989927065854835-0.13855048925070643i
172                                               0.9995831622626319                                0.9897653735827832-0.1397533668127419i
172.5                                             0.9995848566806843                                0.9895367874294746-0.14137479276412393i
173                                               0.9995737249344724                                0.9891367996158451-0.14406950831143894i
173.5                                             0.9994850916911213                                0.9879031174137567-0.1517164431332029i
174                                               0.9986177291238632                                0.9941458822488467-0.0943998608482213i
174.5                                             0.9992594796661792                                0.9906542741680866-0.13085723814609837i
175                                               0.9984949059037532                                0.9884858767462947-0.14102392913564055i
175.5                                             0.9933990778844853                                0.9843421145845201-0.13383695079095786i
176                                               0.9990644213666663                                0.989405286162498-0.13858895249772699i
176.5                                             0.9993737138652321                                0.9892151465247699-0.14213097428345722i
177                                               0.9988734875608181                                0.9905398592941553-0.12875958722140493i
177.5                                             0.9990802551002961                                0.9882895892671398-0.14644126425792978i
178                                               0.9994893359625106                                0.9894115440710222-0.14157587775386074i
178.5                                             0.9994845099969799                                0.9890562735252255-0.14400338025302528i
179                                               0.9994625086567751                                0.988681292700593-0.14640562719505923i
179.5                                             0.9993713497815375                                0.9880228960108176-0.15017939846253625i
180                                               0.9985715509336053                                0.9853883985596835-0.16172460022497573i
180.5                                             0.9991682789349262                                0.9884163105673596-0.14618634216024276i
181                                               0.9982607355393667                                0.9950293449122685-0.08025645695555693i
181.5                                             0.9995243274481033                                0.9904382404003249-0.13446550900989934i
182                                               0.9992463149673507                                0.9883835320381195-0.14693941462957283i
182.5                                             0.9995631457742563                                0.9900784472650255-0.1373723067121001i
183                                               0.9995713440762247                                0.9895605733213263-0.14111252115357584i
183.5                                             0.9995636522557233                                0.989282718091863-0.14299370124441194i
184                                               0.9995525472885265                                0.9890644320541182-0.144418987797473i
184.5                                             0.9995431621684195                                0.9888584252958195-0.14575852551091392i
185                                               0.9992553392290399                                0.9878834368812544-0.1503248087090892i
185.5                                             0.9995281367232605                                0.9887383233661331-0.14646850859007501i
186                                               0.9995075617167027                                0.9885364343915931-0.14768576034683858i
