% Model:              biconAndDipole_fullFeature.mph
% Version:            COMSOL 5.6.0.401
% Date:               Dec 26 2021, 17:31
% Table:              Table 5 - Global Evaluation 4
% freq (MHz)                                      10 * log10( (abs(emw.Vport_1))^2 /50/.001)
30                                                -73.10765648183668
35                                                -69.90953067018935
40                                                -66.5577413308988
42                                                -65.15570940466569
44                                                -63.739380201552535
46                                                -62.322364169386894
48                                                -60.906512098130186
50                                                -59.51250265651603
50.501002004008015                                -59.146182326379
51.00200400801602                                 -58.78367366222769
51.503006012024045                                -58.41913425738234
52.00400801603207                                 -58.04940254048172
52.505010020040075                                -57.66923073542103
53.0060120240481                                  -57.26497065666599
53.50701402805611                                 -56.78093664293027
54.00801603206412                                 -55.36867614864603
54.50901803607214                                 -56.87425020775226
55.01002004008016                                 -56.22325658099377
55.51102204408817                                 -55.78608444153738
56.012024048096194                                -55.39029731806699
56.51302605210421                                 -55.00888700252037
57.01402805611222                                 -54.63375019605821
57.51503006012024                                 -54.26141064365129
58.016032064128254                                -53.89043007800011
58.51703406813626                                 -53.51986519949476
59.018036072144284                                -53.149216032419524
59.5190380761523                                  -52.77818818942765
60.020040080160314                                -52.40661461492826
60.521042084168336                                -52.03441593522926
61.022044088176344                                -51.661579770084316
61.52304609218436                                 -51.288150289494794
62.02404809619239                                 -50.91422375074326
62.525050100200396                                -50.53994781456612
63.02605210420842                                 -50.16552345554686
63.52705410821643                                 -49.791208801063114
64.02805611222445                                 -49.417324509577305
64.52905811623246                                 -49.044260437818004
65.03006012024048                                 -48.67248341042817
65.53106212424849                                 -48.30254591124036
66.03206412825651                                 -47.935095489986146
66.53306613226452                                 -47.570884601353384
67.03406813627254                                 -47.210780504238656
67.53507014028055                                 -46.85577470348838
68.03607214428857                                 -46.506991266713904
68.5370741482966                                  -46.16569316210202
69.0380761523046                                  -45.83328559110237
69.53907815631263                                 -45.5113151487445
70.04008016032064                                 -45.201463592884046
70.54108216432864                                 -44.90553511347152
71.04208416833667                                 -44.62543637173182
71.54308617234469                                 -44.36314933474017
72.04408817635269                                 -44.12069814969716
72.54509018036072                                 -43.90011290746933
73.04609218436873                                 -43.70339445268773
73.54709418837673                                 -43.53248315714315
74.04809619238478                                 -43.38922565268927
74.54909819639278                                 -43.275310678872515
75.05010020040079                                 -43.19211824055908
75.5511022044088                                  -43.14045638367381
76.05210420841684                                 -43.120321092979
76.55310621242484                                 -43.13095620683376
77.05410821643287                                 -43.171259530123216
77.55511022044088                                 -43.240184146393865
78.05611222444888                                 -43.336855339952834
78.55711422845691                                 -43.46048766121697
79.05811623246493                                 -43.61029229044376
79.55911823647293                                 -43.78544990870903
80.06012024048096                                 -43.985133575373226
80.56112224448897                                 -44.20854871132627
81.06212424849697                                 -44.45496827479522
81.56312625250501                                 -44.7237521826759
82.06412825651302                                 -45.01434505319821
82.56513026052103                                 -45.32624654930189
83.06613226452905                                 -45.65894523865612
83.56713426853707                                 -46.011800359615584
84.06813627254508                                 -46.383846799093675
84.5691382765531                                  -46.7734916921129
85.07014028056112                                 -47.17808433125471
85.57114228456912                                 -47.59341912722149
86.07214428857715                                 -48.013427455049175
86.57314629258516                                 -48.43053054688695
87.07414829659317                                 -48.83686776262731
87.5751503006012                                  -49.22520755355846
88.07615230460922                                 -49.58829054056855
88.57715430861721                                 -49.91633930522673
89.07815631262525                                 -50.195661212925906
89.57915831663325                                 -50.40973831328046
90.08016032064127                                 -50.5422249511963
90.58116232464928                                 -50.580492007691575
91.08216432865731                                 -50.518521271063676
91.58316633266531                                 -50.35822342160898
92.08416833667334                                 -50.10876818014471
92.58517034068136                                 -49.784274817364974
93.08617234468936                                 -49.40075436653537
93.58717434869739                                 -48.97323217543586
94.0881763527054                                  -48.51236342693512
94.58917835671342                                 -48.019258728628486
95.09018036072143                                 -47.46167251353447
95.59118236472946                                 -46.462200752696205
96.09218436873745                                 -47.51741825299335
96.59318637274549                                 -46.64027912819399
97.0941883767535                                  -46.0951843527641
97.59519038076151                                 -45.481667131882595
98.09619238476954                                 -45.78058333629964
98.59719438877755                                 -45.194509253067295
99.09819639278555                                 -44.78194417249833
99.59919839679358                                 -44.424563191741264
100.1002004008016                                 -44.09349119718917
100.6012024048096                                 -43.77927688228397
101.10220440881763                                -43.476519774491784
101.60320641282564                                -43.1807108790949
102.10420841683366                                -42.88716657611352
102.60521042084167                                -42.59064930157198
103.1062124248497                                 -42.28605556368494
103.60721442885769                                -41.97296143200145
104.10821643286572                                -41.67302294092731
104.60921843687373                                -41.4704083834328
105.11022044088175                                -41.494416608863645
105.61122244488976                                -41.677612978516606
106.11222444889779                                -41.78246487092707
106.61322645290579                                -41.75127800950208
107.1142284569138                                 -41.640389304119395
107.61523046092184                                -41.4953909915678
108.11623246492984                                -41.33803744533939
108.61723446893785                                -41.17709752048792
109.11823647294588                                -41.01526433019778
109.61923847695391                                -40.85200103449269
110.1202404809619                                 -40.68446106877347
110.62124248496994                                -40.50819289031291
111.12224448897793                                -40.31979582052732
111.62324649298596                                -40.12242996507574
112.12424849699397                                -39.92756616372009
112.625250501002                                  -39.74572669180968
113.12625250501                                   -39.57807800494628
113.62725450901803                                -39.419533814488986
114.12825651302605                                -39.264618347045854
114.62925851703405                                -39.109606983495645
115.13026052104208                                -38.95233831091355
115.63126252505009                                -38.791622224065335
116.13226452905809                                -38.62683495746317
116.63326653306612                                -38.457716482983614
117.13426853707413                                -38.284286399193974
117.63527054108214                                -38.10681217537741
118.13627254509018                                -37.925789025035044
118.6372745490982                                 -37.74190817929944
119.1382765531062                                 -37.55600314686715
119.63927855711422                                -37.368974710206324
120.14028056112224                                -37.18170486528042
120.64128256513024                                -36.9949755752631
121.14228456913827                                -36.80940814594556
121.64328657314628                                -36.62543337756642
122.14428857715428                                -36.443293958755206
122.64529058116231                                -36.26307252094027
123.14629258517033                                -36.08473411638434
123.64729458917833                                -35.90817140190599
124.14829659318636                                -35.73324344606025
124.64929859719437                                -35.55980305914393
125.15030060120239                                -35.38771131412437
125.65130260521042                                -35.21684057510984
126.15230460921843                                -35.04706859190979
126.65330661322643                                -34.8782660814867
127.15430861723446                                -34.710278838878345
127.65531062124248                                -34.542903440772
128.1563126252505                                 -34.37581961389863
128.6573146292585                                 -34.208671420290045
129.1583166332665                                 -34.04121045385224
129.65931863727454                                -33.87404503302832
130.16032064128257                                -33.70915481798686
130.66132264529057                                -33.551694762278366
131.16232464929857                                -33.43277058794147
131.6633266533066                                 -33.77975286529771
132.16432865731463                                -33.00635860184167
132.66533066132263                                -33.104906630993284
133.16633266533066                                -33.00992450448557
133.6673346693387                                 -32.84926722865916
134.1683366733467                                 -32.703503681262944
134.6693386773547                                 -32.580439035193926
135.17034068136272                                -32.48139045267715
135.67134268537075                                -32.408582830790124
136.17234468937872                                -32.365069560166944
136.67334669338672                                -32.35379341264932
137.17434869739478                                -32.37611779139663
137.6753507014028                                 -32.43059174130818
138.1763527054108                                 -32.51338822605514
138.6773547094188                                 -32.60176982991219
139.17835671342687                                -32.55525620856036
139.67935871743484                                -34.28865996229011
140.18036072144287                                -35.396202032432384
140.6813627254509                                 -35.96906745824662
141.18236472945893                                -36.92122020661734
141.68336673346693                                -38.2089259888756
142.1843687374749                                 -39.87377200594483
142.68537074148293                                -42.0098793076253
143.18637274549098                                -44.73688210633192
143.68737474949899                                -47.91423188423869
144.188376753507                                  -49.622302958615506
144.68937875751502                                -47.58511752071769
145.19038076152304                                -44.522261945575316
145.69138276553102                                -41.95367716864184
146.19238476953907                                -39.96176316824201
146.6933867735471                                 -38.41527905778266
147.1943887775551                                 -37.20865132756712
147.6953907815631                                 -36.303097921020004
148.19639278557113                                -35.78703490038535
148.69739478957914                                -35.53124616590382
149.19839679358716                                -35.295193667728945
149.69939879759517                                -31.26039372780275
150.2004008016032                                 -29.703522180886978
150.70140280561122                                -28.872886677150838
151.20240480961922                                -31.710427784864365
151.7034068136272                                 -31.11831924174952
152.20440881763525                                -30.617730928953616
152.70541082164328                                -30.259826983937987
153.20641282565128                                -29.986534225442703
153.7074148296593                                 -29.771448509235245
154.20841683366734                                -29.6011761785836
154.70941883767532                                -29.467733008014353
155.21042084168334                                -29.365068094749716
155.71142284569137                                -29.28748333027659
156.2124248496994                                 -29.230283566035034
156.7134268537074                                 -29.192199813232023
157.2144288577154                                 -29.172214322127363
157.7154308617234                                 -29.16840484393676
158.21643286573143                                -29.178859565450203
158.71743486973946                                -29.202071700073134
159.21843687374746                                -29.236977241352044
