% Model:              2dipoleInBox_8.7.21.mph
% Version:            COMSOL 5.6.0.401
% Date:               Dec 25 2021, 14:42
% Table:              Table 11 - Power recieve dBm
% freq (MHz)                                      10 * log10( (abs(emw.Vport_1))^2 /50/.001)
50                                                -73.04610344841376
51.00401606425703                                 -72.03874348486877
52.00803212851406                                 -71.00517158602892
53.01204819277108                                 -69.9389694963523
54.016064257028106                                -68.83586591944004
55.02008032128514                                 -67.69077405725243
56.02409638554216                                 -66.4975146977227
57.028112449799195                                -65.24846226064543
58.032128514056225                                -63.93402819827854
59.03614457831325                                 -62.54189768411308
60.040160642570285                                -61.05589383828338
61.0441767068273                                  -59.454230684171975
62.04819277108434                                 -57.70667372191161
63.05220883534137                                 -55.770093234739036
64.05622489959839                                 -53.575733368138565
65.06024096385542                                 -51.01875827709959
66.06425702811245                                 -47.91494879547764
67.06827309236948                                 -43.94780622353856
68.07228915662651                                 -38.9411952240268
69.07630522088353                                 -37.01125583710748
70.08032128514057                                 -40.7004838650887
71.0843373493976                                  -43.87820299043047
72.0883534136546                                  -46.0539126922755
73.09236947791165                                 -47.585901046482455
74.09638554216868                                 -48.69749196847142
75.1004016064257                                  -49.51642959693756
76.10441767068274                                 -50.11993085479198
77.10843373493975                                 -50.55749305863695
78.11244979919678                                 -50.86242575982878
79.1164658634538                                  -51.057787901802726
80.12048192771084                                 -51.16056347013432
81.12449799196787                                 -51.18292000962072
82.12851405622489                                 -51.13404407581544
83.13253012048193                                 -51.020793382834526
84.13654618473896                                 -50.84824620723566
85.14056224899599                                 -50.6199776776929
86.144578313253                                   -50.337943587935314
87.14859437751005                                 -50.00050810699199
88.15261044176707                                 -49.56467424856048
89.15662650602408                                 -49.25987560162074
90.16064257028113                                 -48.7606139591966
91.16465863453816                                 -48.23242877689368
92.16867469879519                                 -47.659023048135055
93.17269076305219                                 -47.03753585068058
94.17670682730923                                 -46.366762051528674
95.18072289156626                                 -45.646366979025245
96.18473895582328                                 -44.87689677928234
97.18875502008032                                 -44.06266232283763
98.19277108433735                                 -43.21030069457766
99.19678714859438                                 -42.33339622305344
100.2008032128514                                 -41.45397382767115
101.20481927710844                                -40.598698213083836
102.20883534136547                                -39.60971055040638
103.21285140562249                                -39.52653174584901
104.21686746987952                                -39.12612678562585
105.22088353413655                                -39.039897564480704
106.22489959839356                                -39.20660071395391
107.22891566265059                                -39.5651447929301
108.23293172690764                                -40.046239251487975
109.23694779116465                                -40.589163309378634
110.24096385542167                                -41.14921845346957
111.24497991967871                                -41.69573090164994
112.24899598393574                                -42.20013527030603
113.25301204819276                                -42.50175406084104
114.25702811244979                                -43.463007202117495
115.26104417670683                                -43.80495718044982
116.26506024096386                                -44.22130879329413
117.26907630522088                                -44.650883786982824
118.27309236947792                                -45.10508161512184
119.27710843373494                                -45.616292645879014
120.28112449799195                                -46.24714166269975
121.285140562249                                  -47.128174634163486
122.28915662650603                                -48.58535345794764
123.29317269076306                                -51.763077189362
124.29718875502007                                -72.41554195147938
125.30120481927712                                -44.03001521169187
126.30522088353413                                -34.150747898562024
127.30923694779115                                -35.93361506490653
128.3132530120482                                 -37.53697497462028
129.31726907630522                                -38.134520312854995
130.32128514056225                                -38.826534344565744
131.32530120481928                                -38.798248469859395
132.3293172690763                                 -38.63779344470707
133.33333333333334                                -38.33620273228524
134.33734939759037                                -37.902558427960685
135.34136546184735                                -37.338046523832745
136.34538152610438                                -36.63273178564401
137.34939759036143                                -35.75640146847371
138.35341365461846                                -34.44620328188341
139.3574297188755                                 -33.76076927020395
140.36144578313252                                -32.19694523945545
141.36546184738955                                -30.37490050734312
142.36947791164656                                -28.310770790231103
143.37349397590359                                -26.007987389464734
144.37751004016064                                -24.605367428129266
145.38152610441767                                -27.23800022897735
146.3855421686747                                 -28.37676168207104
147.38955823293173                                -30.098297647736274
148.39357429718876                                -33.29276657159296
149.39759036144576                                -34.717529839285504
150.4016064257028                                 -36.10629702029901
151.40562248995985                                -37.32799466051082
152.40963855421688                                -38.39233741457699
153.4136546184739                                 -39.30849180833683
154.41767068273094                                -40.0462456826311
155.42168674698797                                -39.98614318800432
156.42570281124497                                -42.27450987954796
157.429718875502                                  -42.55277517445863
158.43373493975903                                -42.98762030066484
159.43775100401606                                -43.39590611261834
160.4417670682731                                 -43.74437717384619
161.44578313253012                                -44.01776127646659
162.44979919678715                                -44.16170374338931
163.45381526104416                                -44.38145949751074
164.45783132530119                                -44.35889990751642
165.46184738955824                                -44.20438660148242
166.46586345381527                                -43.87186947220645
167.46987951807228                                -43.29130619431078
168.4738955823293                                 -42.352522471900784
169.4779116465863                                 -40.85809741324438
170.48192771084334                                -38.40339315173762
171.4859437751004                                 -33.998290438243295
172.48995983935743                                -27.626560220656113
173.49397590361446                                -34.23557334245664
174.49799196787149                                -41.375089821958575
175.50200803212851                                -44.94422818637369
176.50602409638552                                -46.99508674325167
177.51004016064255                                -48.92802663187758
178.51405622489958                                -49.048748988868965
179.51807228915663                                -49.15539962338294
180.52208835341366                                -46.44010185913516
181.5261044176707                                 -49.354914986468835
182.53012048192772                                -48.805606348561795
183.53413654618473                                -47.32387037511007
184.53815261044176                                -45.82923595119585
185.5421686746988                                 -44.14499223173867
186.54618473895584                                -42.21785382082083
187.55020080321285                                -39.97798285440457
188.55421686746988                                -37.2944396413527
189.5582329317269                                 -33.77135767037493
190.5622489959839                                 -29.492592085338167
191.56626506024094                                -22.401571219803692
192.570281124498                                  -20.902305132064328
193.57429718875503                                -27.070780335308633
194.57831325301206                                -30.654762544953805
195.58232931726909                                -32.90452862985564
196.58634538152612                                -34.72124883972163
197.59036144578312                                -35.11969026928234
198.59437751004015                                -36.42836269544829
199.5983935742972                                 -36.88156465417209
200.60240963855424                                -37.23586996385273
201.60642570281126                                -36.70891988173918
202.61044176706827                                -38.56132241556382
203.6144578313253                                 -38.15215336126192
204.6184738955823                                 -37.18714494472528
205.62248995983933                                -38.94793877015508
206.6265060240964                                 -37.99485038777349
207.63052208835342                                -35.66642224405076
208.63453815261045                                -37.19279869807377
209.63855421686748                                -33.988494705330055
210.6425702811245                                 -47.8465260657914
211.6465863453815                                 -40.75910947460075
212.65060240963854                                -31.109451966750854
213.6546184738956                                 -45.595683244105345
214.65863453815263                                -39.25081965319441
215.66265060240966                                -39.037857326541186
216.66666666666669                                -42.79882208521934
217.67068273092372                                -27.823706568236133
218.67469879518072                                -30.288418660582437
219.67871485943772                                -29.946689590118574
220.68273092369478                                -28.71539034406895
221.6867469879518                                 -26.803174077545616
222.69076305220884                                -24.48565894004616
223.69477911646587                                -20.702318860120812
224.69879518072287                                -14.068812819417483
225.7028112449799                                 -14.732081693296015
226.70682730923693                                -20.116678790660206
227.710843373494                                  -24.679873667876954
228.71485943775102                                -26.66738080745087
229.71887550200805                                -32.02690430575474
230.72289156626508                                -31.133704169641305
231.72690763052208                                -32.237235123979126
232.7309236947791                                 -33.18941996560737
233.73493975903614                                -33.930864889099944
234.73895582329317                                -34.39490182773671
235.7429718875502                                 -32.97832214312068
236.74698795180723                                -34.53677615597072
237.75100401606426                                -31.845373514254263
238.75502008032126                                -44.22192873089455
239.7590361445783                                 -32.28085215687818
240.76305220883532                                -49.44922318702102
241.76706827309238                                -42.81542706252554
242.7710843373494                                 -41.37553960783834
243.77510040160644                                -39.897353567754756
244.77911646586347                                -41.287542394208636
245.78313253012047                                -39.3496640675366
246.7871485943775                                 -39.63401503373305
247.79116465863453                                -37.67223814893403
248.7951807228916                                 -38.846105124833244
249.79919678714862                                -47.11039798103109
250.80321285140565                                -54.08821204829694
251.80722891566265                                -23.851662665498978
252.81124497991965                                -49.66518579674307
253.81526104417668                                -47.93386672956542
254.8192771084337                                 -52.147165786179606
255.82329317269077                                -50.3862724807375
256.8273092369478                                 -49.091503091628574
257.83132530120486                                -49.170783264349296
258.8353413654619                                 -74.58509156957138
259.8393574297189                                 -45.796910665915846
260.84337349397595                                -45.33061618638384
261.847389558233                                  -44.52572123217586
262.85140562249                                   -43.029290763465056
263.85542168674704                                -41.073751499278444
264.85943775100407                                -41.26970342863472
265.8634538152611                                 -40.1860862738798
266.86746987951807                                -33.64866174002348
267.8714859437751                                 -35.81773884494298
268.87550200803213                                -32.64721861839557
269.87951807228916                                -28.321980861715176
270.8835341365462                                 -20.651656610643357
271.8875502008032                                 -20.13495673746396
272.89156626506025                                -28.40469609675173
273.8955823293173                                 -33.169888982705174
274.8995983935743                                 -38.60409402713349
275.90361445783134                                -52.982941490510655
276.9076305220883                                 -33.68218654839722
277.91164658634534                                -18.24762218469861
278.91566265060237                                -21.658083488808444
279.91967871485946                                -23.805429284545234
280.9236947791165                                 -22.63787301067234
281.9277108433735                                 -25.16526120612088
282.93172690763055                                -26.7711143516891
283.9357429718875                                 -23.85688013652425
284.93975903614455                                -28.126039277497124
285.9437751004016                                 -20.31302075021902
286.9477911646586                                 -15.672998509764698
287.95180722891564                                -15.159439856601296
288.95582329317267                                -18.103841494433823
289.95983935742964                                -23.26039929194444
290.9638554216867                                 -28.605162427741256
291.9678714859437                                 -37.55714649124527
292.9718875502008                                 -30.591520164409275
293.9759036144578                                 -30.004199369915693
294.97991967871485                                -12.019744145989957
295.9839357429719                                 -14.045273465437997
296.9879518072289                                 -20.437874322956425
297.99196787148594                                -25.55099978193941
298.99598393574297                                -23.730586835914117
300                                               -22.349228492084396
