% Model:              biconAndDipole_fullFeature.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:45
% Table:              Table 9 - s12
% freq (MHz)                                      abs(emw.S12) (1)                                  S12 (1)
30                                                8.163370857657652E-5                              -4.412716499355353E-5-6.867936870412487E-5i
35                                                1.229759650702192E-4                              -7.761971166785157E-5-9.538484337436092E-5i
40                                                1.8689589456681466E-4                             -1.3468392052196754E-4-1.2957745544176362E-4i
42                                                2.218905217443563E-4                              -1.6770236508658698E-4-1.4529735160816854E-4i
44                                                2.6430541639383065E-4                             -2.0889318356904262E-4-1.619289689756174E-4i
46                                                3.161201252208097E-4                              -2.605408943291588E-4-1.790261878937897E-4i
48                                                3.801482186313496E-4                              -3.258180054792329E-4-1.958450801887117E-4i
50                                                4.3936339201602957E-4                             -3.923414872025826E-4-1.977583061807949E-4i
50.5                                              4.798950601813606E-4                              -4.299681863990982E-4-2.1313523282447233E-4i
51                                                5.052334773349118E-4                              -4.565073334596312E-4-2.1647614445361856E-4i
51.5                                              5.316693708631895E-4                              -4.8435071964156236E-4-2.192639968092355E-4i
52                                                5.599030143306341E-4                              -5.141585468926217E-4-2.2165823718914198E-4i
52.5                                              5.905456179023033E-4                              -5.465284644355475E-4-2.2372028156905142E-4i
53                                                6.248715158182691E-4                              -5.827086925850654E-4-2.2564350393225387E-4i
53.5                                              6.67658707873687E-4                               -6.273700492635559E-4-2.2841841319518145E-4i
54                                                7.927381333198171E-4                              -7.561080930406095E-4-2.3818962961867396E-4i
54.5                                              6.726637147203418E-4                              -6.408441251110946E-4-2.0443894054696427E-4i
55                                                7.349720328323641E-4                              -7.042250782747898E-4-2.103590458587502E-4i
55.5                                              7.827173693937802E-4                              -7.545363398695499E-4-2.0813791621658546E-4i
56                                                8.298686933480714E-4                              -8.046334700015135E-4-2.030936413395527E-4i
56.5                                              8.788511315363156E-4                              -8.567739380202885E-4-1.9574915205913213E-4i
57                                                9.305969089556122E-4                              -9.118157088590516E-4-1.8601806373469518E-4i
57.5                                              9.856793771506611E-4                              -9.702670360584809E-4-1.736252092249439E-4i
58                                                0.0010445668540767087                             -0.0010325197713592247-1.581860752026121E-4i
58.5                                              0.0011077055846281058                             -0.0010989217356578945-1.3922169771603181E-4i
59                                                0.0011755541924576667                             -0.001169801563147822-1.1615490631785041E-4i
59.5                                              0.0012486013788329876                             -0.0012454753477476562-8.829813914512813E-5i
60                                                0.0013273768827573693                             -0.0013262437255948981-5.483583863528814E-5i
60.5                                              0.001412459223530284                              -0.0014123816586621009-1.4802310990699413E-5i
61                                                0.0015044814041592562                             -0.0015041206533848719+3.294473436034152E-5i
61.5                                              0.0016041346445168727                             -0.001601621687403739+8.975482258504509E-5i
62                                                0.0017121693246367265                             -0.0017049357716816228+1.5721898952535525E-4i
62.5                                              0.0018293898326396242                             -0.001813946334452212+2.3720424847084118E-4i
63                                                0.0019566095178117555                             -0.0019282618166341766+3.3185414221042293E-4i
63.5                                              0.002095032906619712                              -0.0020474703694593477+4.438783234237072E-4i
64                                                0.0022450475586893405                             -0.002169909013883852+5.759630302741446E-4i
64.5                                              0.0024078198896674845                             -0.00229402313931896+7.31474167245515E-4i
65                                                0.002584053684872692                              -0.0024170191864789498+9.139757647206934E-4i
65.5                                              0.0027742747099881544                             -0.0025349542411193093+0.001127212119306338i
66                                                0.002978645214828502                              -0.0026423753374297905+0.001374838133004585i
66.5                                              0.0031967586798111822                             -0.0027319867485472837+0.001659974235556135i
67                                                0.003427381674518592                              -0.0027943930698895595+0.00198451820696588i
67.5                                              0.003668152800292872                              -0.002818052998410235+0.002348174240649003i
68                                                0.0039152763054600345                             -0.0027896475082089286+0.002747226843207618i
68.5                                              0.004163286584768053                              -0.0026951077049428766+0.0031732238568476664i
69                                                0.004405002258991696                              -0.002521496739948323+0.003611938412009807i
