% Model:              biconAndDipole_fullFeature.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:45
% Table:              Table 10 - s22
% freq (MHz)                                      abs(emw.S22) (1)                                  S22 (1)
66.5                                              0.9995948233408651                                0.9984517455563596-0.047790403276327435i
67                                                0.9995940461165206                                0.9984331448639837-0.04816131506315077i
67.5                                              0.9995931783919924                                0.9984143062552335-0.048532415483737386i
68                                                0.9995922277178392                                0.9983952383579564-0.0489036781650621i
68.5                                              0.9995912121647615                                0.9983759604369656-0.04927507542950876i
69                                                0.9995901627393424                                0.9983565046039029-0.04964658256458736i
69.5                                              0.9995891239319435                                0.9983369160580317-0.05001818388115568i
70                                                0.9995881509732284                                0.9983172499805347-0.050389879513450614i
70.5                                              0.9995873030490733                                0.9982975644432764-0.050761690708074694i
71                                                0.9995866333707817                                0.9982779103643236-0.0511336610480131i
71.5                                              0.9995861789340027                                0.9982583214467159-0.051505851883697835i
72                                                0.9995859536602691                                0.9982388077701547-0.051878332823345724i
72.5                                              0.9995859474306773                                0.9982193553996712-0.052251170382581764i
73                                                0.9995861308737547                                0.9981999316720398-0.052624418715061565i
73.5                                              0.9995864634360216                                0.9981804935507577-0.05299811486552067i
74                                                0.9995869016148622                                0.9981609958982641-0.053372278828861454i
74.5                                              0.999587405160195                                 0.9981413975420291-0.05374691682075026i
75                                                0.9995879405287428                                0.9981216645104358-0.054122025880508365i
75.5                                              0.9995884819932593                                0.9981017709230907-0.05449759823862574i
76                                                0.9995890113502016                                0.9980816985332231-0.05487362449401135i
76.5                                              0.9995895168375808                                0.9980614355262212-0.055250095809209976i
77                                                0.9995899856431838                                0.9980409679619746-0.05562702281863648i
77.5                                              0.9995903841009048                                0.9980202562461074-0.05600450079635352i
78                                                0.9995867643467611                                0.997998074840995-0.05633419983362766i
78.5                                              0.9995913626344697                                0.9979785714019913-0.0567596976372875i
79                                                0.9995916487173058                                0.9979572428661447-0.057138477371943885i
79.5                                              0.9995919445318019                                0.9979357620584696-0.05751756581819661i
80                                                0.9995922186973165                                0.9979140914040987-0.05789706259695803i
80.5                                              0.9995924693697166                                0.997892226195119-0.05827700850247351i
81                                                0.9995926974050183                                0.9978701653583556-0.05865742743360517i
81.5                                              0.9995929044265837                                0.9978479083775478-0.05903834623806987i
82                                                0.9995930922772803                                0.997825454509525-0.059419798563401426i
82.5                                              0.9995932628250881                                0.9978028023653083-0.05980182837709158i
83                                                0.9995934179042718                                0.9977799495272426-0.06018449500458868i
83.5                                              0.9995935593379335                                0.9977568920646461-0.06056788098800178i
84                                                0.999593689039249                                 0.9977336237836576-0.06095210528460545i
84.5                                              0.9995938091948814                                0.9977101348933931-0.061337346794104346i
85                                                0.9995939225598987                                0.9976864094010386-0.06172388933912043i
85.5                                              0.9995940329588772                                0.9976624195781708-0.06211221529154065i
86                                                0.9995941462587599                                0.9976381129197895-0.06250322299386012i
86.5                                              0.9995942725682209                                0.9976133765577048-0.06289881290076753i
87                                                0.9995944303622735                                0.9975879105898527-0.06330391659486759i
87.5                                              0.9995946606250872                                0.9975606269419414-0.06373602690303286i
88                                                0.9995943032936964                                0.9975209162901668-0.06434899176239049i
88.5                                              0.9995898018651388                                0.9975337480648413-0.06407958695635531i
89                                                0.9995913151962716                                0.9975014060119788-0.06460450773698029i
89.5                                              0.9995930750616859                                0.9974724826178154-0.06507658666163386i
90                                                0.9995934190825507                                0.9974457727107353-0.06548995323427899i
90.5                                              0.9995935686952919                                0.9974194848577044-0.06589137882288507i
91                                                0.9995936446216303                                0.9973932648342182-0.0662882314690415i
91.5                                              0.9995936820800998                                0.9973669849677471-0.06668303045601155i
92                                                0.9995936950012799                                0.9973405860072047-0.06707690056284289i
92.5                                              0.9995936901354823                                0.9973140355136473-0.06747043742376471i
93                                                0.9995936697369426                                0.9972873115358418-0.06786400244445207i
93.5                                              0.9995936337655911                                0.9972603970231666-0.06825784346062183i
94                                                0.9995935772962519                                0.9972332730519279-0.06865215867004394i
94.5                                              0.9995934951055302                                0.997205920535595-0.06904713973834326i
95                                                0.999593350317323                                 0.9971782859708744-0.06944301251241547i
