% Model:              biconAndDipole_fullFeature.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:45
% Table:              Table 8 - tickle Z
% freq (MHz)                                      abs(emw.Zport_2) (Ω)                              Lumped port impedance (Ω)
93.5                                              1462.6931438154913                                8.945552365840374-1462.6657889134194i
94                                                1454.2724289640255                                8.844162713035956-1454.2455358125849i
94.5                                              1445.9337572204806                                8.74486752197804-1445.9073129221524i
95                                                1437.6712235190068                                8.648324379059975-1437.6452112465274i
95.5                                              1429.46015775091                                  8.562400994569238-1429.4345133256245i
96                                                1421.4691469858337                                8.441285767709354-1421.444082800031i
96.5                                              1413.371097338328                                 8.352391640944834-1413.3464176716286i
97                                                1405.3747382326192                                8.261041109243408-1405.3504580929962i
97.5                                              1397.4314206423398                                8.169146282340881-1397.4075427188327i
98                                                1389.5123373760862                                8.105796555064837-1389.4886943701854i
98.5                                              1381.53075850005                                  7.989151090144989-1381.5076583742064i
99                                                1374.2008554865959                                7.984035615728104-1374.177661874686i
99.5                                              1366.146177288253                                 7.841945565946843-1366.1236699541691i
100                                               1358.184622563623                                 7.7502244088788785-1358.1625097866245i
100.5                                             1350.0716291997026                                7.663157154242397-1350.0498805571476i
101                                               1341.5624926262633                                7.5773783855238435-1341.5410932798127i
101.5                                             1332.0065310926811                                7.491522630444817-1331.9854638704714i
102                                               1318.5704360128589                                7.409692585393118-1318.5496165040322i
102.5                                             1236.5281062963304                                8.699292600024894-1236.4975050395565i
103                                               1337.994120292776                                 7.485670611525064-1337.973180102477i
103.5                                             1320.107449260772                                 7.279330026392108-1320.0873792852308i
104                                               1310.0290176866615                                7.177985168679892-1310.0093525276823i
104.5                                             1301.6668594958785                                7.093882893470391-1301.647529070507i
105                                               1293.9856048357542                                7.016175321361462-1293.966583342094i
105.5                                             1286.658201109686                                 6.942342499251879-1286.639471788207i
106                                               1279.5635026420011                                6.866260140007968-1279.5450800050603i
106.5                                             1272.6012827919108                                6.798198377644379-1272.5831247751303i
107                                               1265.7578349945538                                6.729176566628234-1265.739947632544i
107.5                                             1259.0006265942532                                6.661053288213356-1258.9830054984118i
108                                               1252.3079310904334                                6.59362103764392-1252.2905726841568i
108.5                                             1245.6512594618941                                6.526662487626338-1245.6341609299961i
109                                               1238.4831807033224                                6.854778118212648-1238.464210585824i
109.5                                             1232.587460331993                                 6.409861891487505-1232.5707935198711i
110                                               1225.9662715949344                                6.339947450676405-1225.9498783207684i
110.5                                             1219.3097108354752                                6.274051686053648-1219.293568921419i
111                                               1212.5143170910403                                6.208459553201283-1212.4984223415418i
111.5                                             1205.3564945012135                                6.142005009951878-1205.3408458235835i
112                                               1196.5470343291374                                6.082680745364975-1196.53157348931i
112.5                                             1193.6513019206664                                6.019819768533981-1193.6361222528649i
113                                               1180.709045497401                                 5.893620416594649-1180.6943361250483i
113.5                                             1144.9136309358305                                5.776291428790616-1144.8990596380088i
114                                               1211.4694912107698                                6.518471277718453-1211.4519543368954i
114.5                                             1186.138440046444                                 6.03707505266315-1186.1230765315293i
115                                               1161.0155172842722                                8.239473897240659-1160.98628004157i
115.5                                             1168.8864336901468                                5.840821827330077-1168.8718405647608i
116                                               1162.0244768908126                                5.7710252193159395-1162.0101463245855i
116.5                                             1155.684903774569                                 5.7104018240928465-1155.6707957387528i
117                                               1149.62456741804                                  5.654177161932996-1149.6106629166839i
117.5                                             1143.7448678494943                                5.600764449110448-1143.7311546730039i
118                                               1137.9964668553052                                5.548842024528654-1137.982938768128i
118.5                                             1132.3498282073215                                5.497920910840641-1132.3364810456337i
