% Model:              biconAndDipole_fullFeature.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:43
% Table:              Table 1 - Global Evaluation 1 (emw.Vport_1)
% freq (MHz)                                      abs(emw.Vport_1) (V)                              (emw.Vport_1) (V)
72                                                0.0031549788859249308                             7.540703034837967E-5+0.003154077606909214i
72.5                                              0.0031539618239507868                             3.980829558928136E-4+0.0031287385872211526i
73                                                0.003131179001194671                              6.97461410541926E-4+0.0030525120013404246i
73.5                                              0.0030908755040546096                             9.645682295096779E-4+0.0029365148581584604i
74                                                0.0030375156499625492                             0.0011950716452999036+0.002792544554052377i
74.5                                              0.002975275340183763                              0.001388472533710514+0.0026314268701670414i
75                                                0.002907749437743475                              0.0015469356601600526+0.0024621122752674536i
75.5                                              0.00283785129178278                               0.0016741663630942068+0.0022914115612340594i
76                                                0.0027678574349339663                             0.0017745474708328473+0.002124150666473539i
76.5                                              0.0026995798796247005                             0.0018526181821752797+0.0019635522395770565i
77                                                0.0026348218338120358                             0.0019130271945945996+0.0018117982913873538i
77.5                                              0.002577962848171042                              0.0019625391456422597+0.001671625720181375i
78                                                8.32270292855503E-4                               8.209398637240456E-4+1.3686336441330837E-4i
78.5                                              0.002430704196639913                              0.001989126081874439+0.0013970326846461849i
79                                                0.0023842555278830546                             0.002008892100285339+0.0012841444434533303i
79.5                                              0.0023365825693283555                             0.0020184828885739486+0.0011770067679598402i
80                                                0.0022911459642732403                             0.0020223232324345477+0.001076828014662062i
80.5                                              0.0022485017693659433                             0.0020220853448455075+9.833265302038804E-4i
81                                                0.002208698462955255                              0.0020187984741085645+8.95991976078937E-4i
81.5                                              0.002171629142186526                              0.0020131888606609925+8.142749796624491E-4i
82                                                0.0021371226061610276                             0.002005786546026394+7.376404039530449E-4i
82.5                                              0.002104972762425815                              0.0019969741645735443+6.655858446364073E-4i
83                                                0.002074946230817487                              0.001987012563378466+5.976478342300197E-4i
83.5                                              0.002046777807682717                              0.0019760518692305937+5.334026660345333E-4i
84                                                0.0020201542286957834                             0.0019641284076705175+4.7246450226353824E-4i
84.5                                              0.001994680481644799                              0.0019511419753869767+4.144818641843508E-4i
85                                                0.00196981303056616                               0.0019367981451476918+3.591327335967848E-4i
85.5                                              0.0019447205333992222                             0.0019204765027808926+3.061175514259639E-4i
